task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	n_remote_run_ids	n_spots	sample_id
875	3390127.pbs02	download_runs	DRX088957	download_runs (DRX088957)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987119926	1629987127528	1629987252532	132606	122046		5.2	0.2	55017472.0	109678592.0	55017472.0	109694976.0	283519588.0	265501989.0	41910.0	744.0	41708420.0	265496328.0	24975.0	469.0	/scratch1/btsheal/work/00/25c9d236a4417187e94629ea7e1cef			1	7581709	DRX088957
4134	3395090.pbs02	download_runs	ERX2593881	download_runs (ERX2593881)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629999615952	1629999623193	1629999844559	228607	202818		3.9	0.1	51527680.0	105209856.0	51527680.0	105226240.0	403828915.0	385569425.0	58115.0	973.0	41713467.0	385563744.0	25033.0	200.0	/scratch1/btsheal/work/00/5b1a821e42369c931fbb717a0fdf8f			1	16302915	ERX2593881
2163	3392561.pbs02	download_runs	SRX2191071	download_runs (SRX2191071)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629992062511	1629992073568	1629992189454	126943	112181		5.6	0.2	53280768.0	106487808.0	53280768.0	106504192.0	245684779.0	227734090.0	36882.0	672.0	41709389.0	227728411.0	25167.0	281.0	/scratch1/btsheal/work/00/9879a397716a7cfa92bc4ce8a43fe0			1	6724793	SRX2191071
4507	3395465.pbs02	download_runs	SRX3081243	download_runs (SRX3081243)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630001003319	1630001012599	1630001067777	64458	51387		6.1	0.1	50868224.0	105209856.0	50868224.0	105226240.0	113158741.0	95421513.0	18866.0	419.0	41708513.0	95415842.0	24904.0	216.0	/scratch1/btsheal/work/00/a316fa99e136bcf132ae5f3c47ca48			1	4677509	SRX3081243
7792	3400000.pbs02	download_runs	SRX3060307	download_runs (SRX3060307)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630013478756	1630013499342	1630013657997	179241	144157		3.2	0.2	60661760.0	115015680.0	60661760.0	115032064.0	96765812.0	79036083.0	16860.0	388.0	41710623.0	79030408.0	28184.0	198.0	/scratch1/btsheal/work/01/3672996019839a56f43594162cb89e			1	4532033	SRX3060307
3168	3393532.pbs02	download_runs	SRX2520759	download_runs (SRX2520759)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629995875319	1629995893588	1629996119261	243942	222105		7.4	0.2	55730176.0	109682688.0	55730176.0	109699072.0	991893417.0	972603653.0	133293.0	2093.0	41710170.0	972597971.0	48409.0	204.0	/scratch1/btsheal/work/01/695257f9fc47b50707148d6dffdcd6			1	14826915	SRX2520759
7498	3399557.pbs02	download_runs	SRX465465	download_runs (SRX465465)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630012342226	1630012349603	1630012518209	175983	155778		5.4	0.1	51404800.0	105201664.0	51404800.0	105218048.0	405638122.0	375415538.0	62223.0	1392.0	41716035.0	375399118.0	24784.0	233.0	/scratch1/btsheal/work/01/89ac4e457869a903d46fc1ade1cb01			3	14770915	SRX465465
7492	3399550.pbs02	download_runs	SRX058643	download_runs (SRX058643)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630012325034	1630012336754	1630012421972	96938	82484		4.9	0.2	54960128.0	109678592.0	54960128.0	109694976.0	121644264.0	103892792.0	18110.0	436.0	41709216.0	103887126.0	26192.0	274.0	/scratch1/btsheal/work/01/c6a2c3ce9afa25071771f0c69e5184			1	4915050	SRX058643
2378	3392767.pbs02	download_runs	SRX2762798	download_runs (SRX2762798)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629992860663	1629992873619	1629994165090	1304427	1287243		5.6	0.2	51302400.0	105209856.0	51302400.0	105226240.0	4836315095.0	4810143003.0	685030.0	9412.0	41709944.0	4810137317.0	270118.0	367.0	/scratch1/btsheal/work/02/662f74b5f1ce58184865ad6e64fb3a			1	34830943	SRX2762798
3096	3393471.pbs02	download_runs	SRX2511788	download_runs (SRX2511788)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629995626689	1629995635135	1629995746496	119807	106085		5.4	0.1	51023872.0	103682048.0	51023872.0	103698432.0	249503748.0	231542514.0	36518.0	679.0	41710537.0	231536835.0	21843.0	206.0	/scratch1/btsheal/work/02/7d36d2f4f1fcdac15fa288cf410cf8			1	8537150	SRX2511788
836	3390082.pbs02	download_runs	DRX111930	download_runs (DRX111930)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629986952407	1629986962464	1629987077467	125060	116193		6.7	0.2	56528896.0	110768128.0	56528896.0	110784512.0	411194195.0	392950697.0	56378.0	987.0	41728609.0	392945029.0	23771.0	199.0	/scratch1/btsheal/work/03/11e1d781b8c1a6eb9d52387eeade8e			1	12761093	DRX111930
