task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	sample_id	sra_bytes
5106	3396584.pbs02	fastq_dump	ERX1936695	fastq_dump (ERX1936695)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630003212737	1630003279262	1630004196545	983808	315111		60.0	0.2	64995328.0	182575104.0	65204224.0	244109312.0	2287423912.0	11727242173.0	11376.0	89590.0	2302092934.0	11727239838.0	816544.0	3829.0	/scratch1/btsheal/work/00/06efcdbd1bb9b95083cd95083d43c3			ERX1936695	2.28493e+09
8093	3400488.pbs02	fastq_dump	SRX3598177	fastq_dump (SRX3598177)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630014640731	1630014720321	1630014868656	227925	150747		62.0	0.1	45101056.0	162820096.0	45191168.0	229244928.0	362256952.0	2559949105.0	33971.0	19650.0	376930044.0	2559946692.0	197977.0	2121.0	/scratch1/btsheal/work/00/18a74c931c4448153c0f81d4c39039			SRX3598177	359874744
7433	3399438.pbs02	fastq_dump	SRX315180	fastq_dump (SRX315180)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630012106572	1630012123387	1630012311702	205130	194156		56.2	0.2	76865536.0	193507328.0	78487552.0	252739584.0	639002353.0	4026408059.0	4643.0	30838.0	653671392.0	4026405740.0	239243.0	1616.0	/scratch1/btsheal/work/00/58fbdcefa7769be60c1f1c0d73ee5d			SRX315180	636527952
8435	3401648.pbs02	fastq_dump	SRX366974	fastq_dump (SRX366974)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630015934894	1630015938730	1630016415510	480616	464143		47.1	0.3	90599424.0	208125952.0	90599424.0	264241152.0	1780721053.0	10316246420.0	6221.0	78825.0	1795390067.0	10316244088.0	557144.0	3671.0	/scratch1/btsheal/work/00/77cfde72c0060a09575d4e736f2b8b			SRX366974	1778209958
6528	3398271.pbs02	fastq_dump	SRX465466	fastq_dump (SRX465466)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630008703081	1630008713661	1630008814334	111253	94053		47.3	0.3	86765568.0	202625024.0	87273472.0	260894720.0	173198012.0	1612828162.0	1796.0	12423.0	187867033.0	1612825838.0	87515.0	751.0	/scratch1/btsheal/work/00/8e6b6d8934e4a7cb7b903dad9cbce9			SRX465466	170668638
9135	3402314.pbs02	fastq_dump	SRX1705075	fastq_dump (SRX1705075)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630018592601	1630018603269	1630018911974	319373	308689		65.9	0.2	63520768.0	181006336.0	63705088.0	243122176.0	1771871765.0	9851056935.0	10286.0	75276.0	1786540770.0	9851054602.0	649072.0	2784.0	/scratch1/btsheal/work/01/4fc140bdc545a1cc480026d9beaf8b			SRX1705075	1769400762
9701	3403012.pbs02	fastq_dump	SRX1796774	fastq_dump (SRX1796774)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020749938	1630020759389	1630021135768	385830	372688		64.4	0.2	66007040.0	182423552.0	66023424.0	244076544.0	1332526745.0	9759640377.0	7507.0	74579.0	1347195750.0	9759638044.0	597408.0	4211.0	/scratch1/btsheal/work/01/fe139f279b87cc5d62d06187ff0426			SRX1796774	1330047590
6908	3398667.pbs02	fastq_dump	SRX4170830	fastq_dump (SRX4170830)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630010156912	1630010174772	1630010239840	82928	51488		17.5	0.2	59351040.0	108191744.0	60227584.0	109084672.0	49178869.0	326403373.0	1411.0	2609.0	63847895.0	326401052.0	24025.0	212.0	/scratch1/btsheal/work/02/01bf7130b51f94a8f682397bbcbb2d			SRX4170830	46645925
1814	3391688.pbs02	fastq_dump	SRX2095261	fastq_dump (SRX2095261)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629990666831	1629990688171	1629991047283	380452	355452		54.3	0.2	67899392.0	184188928.0	67899392.0	244670464.0	743630347.0	8390346140.0	6311.0	64132.0	758299361.0	8390343814.0	429310.0	3692.0	/scratch1/btsheal/work/02/20cf4dc2e3703522d0086e81709d34			SRX2095261	741117451
2722	3393128.pbs02	fastq_dump	SRX160928	fastq_dump (SRX160928)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629994192531	1629994205949	1629994804433	611902	591323		35.6	0.2	75071488.0	191606784.0	79187968.0	252428288.0	2157915785.0	10212092948.0	9085.0	78131.0	2170970378.0	10212088588.0	341082.0	2342.0	/scratch1/btsheal/work/02/99f2908384f8a6391f212594a08629			SRX160928	2.15381e+09
