task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	sample_id
2105	3392502.pbs02	fastq_merge	SRX193185	fastq_merge (SRX193185)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991843744	1629991857661	1629992943565	1099821	1078631		6.7	0.0	8843264.0	20078592.0	8843264.0	20094976.0	51568675201.0	34379052899.0	1114964.0	65599.0	34379512400.0	17189526192.0	2314105.0	9879.0	/scratch1/btsheal/work/00/13b36971cfa8fa7d03de13b623afb9			226317876	SRX193185
2913	3393309.pbs02	fastq_merge	SRX1418407	fastq_merge (SRX1418407)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629994972420	1629994978850	1629995595052	622632	612599		12.5	0.0	8761344.0	20082688.0	8761344.0	20099072.0	39505069360.0	26336647319.0	854204.0	50261.0	26337106755.0	13168323368.0	1361161.0	36.0	/scratch1/btsheal/work/00/67d539a3d550abe3c6a216d0e30e9c			228572624	SRX1418407
1247	3391080.pbs02	fastq_merge	DRX064462	fastq_merge (DRX064462)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629988654463	1629988672243	1629989527147	872684	854226		6.3	0.0	8450048.0	20082688.0	8450048.0	20099072.0	33143564206.0	22095643877.0	716690.0	42173.0	22096103328.0	11047821656.0	1235481.0	20.0	/scratch1/btsheal/work/00/aa1e84f4bcd59f1e689d29f6bfb221			145491960	DRX064462
8186	3400895.pbs02	fastq_merge	SRX1397836	fastq_merge (SRX1397836)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630014981153	1630014994416	1630015009361	28208	9326		6.6	0.0	8568832.0	20078592.0	8568832.0	20094976.0	361092291.0	240664301.0	8029.0	485.0	241123807.0	120331894.0	15554.0	1.0	/scratch1/btsheal/work/02/6314f7b148b7ff7ab9b1d067960f7a			1952532	SRX1397836
8986	3402183.pbs02	fastq_merge	SRX384160	fastq_merge (SRX384160)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630018073321	1630018090159	1630019701079	1627758	1604811		5.9	0.0	8785920.0	20082688.0	8785920.0	20099072.0	49429423127.0	32952880476.0	1068747.0	62884.0	32953339628.0	16476439806.0	1638850.0	41.0	/scratch1/btsheal/work/03/4592ea4e278b6c17782c15502973d7			264231264	SRX384160
1914	3391801.pbs02	fastq_merge	SRX1609645	fastq_merge (SRX1609645)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991097426	1629991112448	1629991167708	70282	53595		26.1	0.0	8691712.0	20078592.0	8691712.0	20094976.0	5413834611.0	3609159174.0	117251.0	6909.0	3609618671.0	1804579326.0	212027.0	2.0	/scratch1/btsheal/work/03/66d7d27f3a64fb271ee55a0c49bb60			32123020	SRX1609645
5502	3397032.pbs02	fastq_merge	SRX522625	fastq_merge (SRX522625)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630004808262	1630004826849	1630005228674	420412	407802		8.6	0.0	8880128.0	20082688.0	8880128.0	20099072.0	18629268380.0	12419446663.0	402940.0	23717.0	12419906104.0	6209723044.0	631250.0	9.0	/scratch1/btsheal/work/03/8b65e262023342d59c860de19db46a			70203792	SRX522625
8281	3400984.pbs02	fastq_merge	SRX647451	fastq_merge (SRX647451)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630015344721	1630015356365	1630015856069	511348	493303		8.6	0.0	8630272.0	20078592.0	8630272.0	20094976.0	30662414459.0	20441545739.0	663041.0	39015.0	20442005236.0	10220772610.0	1346669.0	21.0	/scratch1/btsheal/work/03/a06d6db3a8e7702d0072d2b5322e3e			116732816	SRX647451
8531	3401741.pbs02	fastq_merge	SRX465259	fastq_merge (SRX465259)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630016301936	1630016310042	1630016363059	61123	42995		10.8	0.0	8675328.0	20078592.0	8675328.0	20094976.0	2081778173.0	1387788209.0	45224.0	2673.0	1388247708.0	693893846.0	70209.0	2.0	/scratch1/btsheal/work/03/a2628b34f49baa9d3f3ad104240a08			13491300	SRX465259
4214	3395158.pbs02	fastq_merge	SRX424581	fastq_merge (SRX424581)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629999897246	1629999915225	1630001380454	1483208	1466548		8.6	0.0	8667136.0	20082688.0	8667136.0	20099072.0	53866696109.0	35911065146.0	1164652.0	68521.0	35911524584.0	17955532284.0	1785860.0	92.0	/scratch1/btsheal/work/03/ced8ad3e84da8ce4d2769a8a8d55b4			239220072	SRX424581
