task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	sample_id
5913	3397521.pbs02	fastqc_1	SRX1648375	fastqc_1 (SRX1648375)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630006422772	1630006444831	1630011783780	5361008	5336229		27.6	0.7	225783808.0	2743812096.0	225783808.0	2771034112.0	147710434100.0	49234967932.0	9116719.0	105329.0	98495941497.0	5978111.0	4905593.0	107.0	/scratch1/btsheal/work/00/3316b4771f0fb5ec648607752186a1			694649752	SRX1648375
8938	3402132.pbs02	fastqc_1	SRX2007110	fastqc_1 (SRX2007110)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630017886154	1630017889950	1630019369153	1482999	1474340		57.1	0.8	263970816.0	2743812096.0	263970816.0	2771034112.0	103918562365.0	34638217402.0	6416690.0	78762.0	69301175017.0	5294916.0	4373508.0	131.0	/scratch1/btsheal/work/00/6389ff8694e4b24787cab700266b16			342957696	SRX2007110
3264	3393638.pbs02	fastqc_1	ERX697801	fastqc_1 (ERX697801)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629996279261	1629996292294	1629997705068	1425807	1407792		31.6	0.7	241774592.0	2743812096.0	241774592.0	2771034112.0	50185249866.0	16726978775.0	3102730.0	44498.0	33479024596.0	5065660.0	1669911.0	108.0	/scratch1/btsheal/work/00/6b1bd3fcb09bd39b48d704d17aa8b4			190489640	ERX697801
6773	3398532.pbs02	fastqc_1	SRX465500	fastqc_1 (SRX465500)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009652121	1630009665118	1630009725035	72914	56742		34.1	0.6	190496768.0	2743812096.0	196505600.0	2798641152.0	1582202867.0	524256642.0	102612.0	7421.0	1077696676.0	2351811.0	54485.0	117.0	/scratch1/btsheal/work/00/7059e96985218ff26209dfdf6d6ceb			9691380	SRX465500
7187	3398986.pbs02	fastqc_1	SRX4171005	fastqc_1 (SRX4171005)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630011211504	1630011224729	1630011314467	102963	83259		18.1	0.5	176238592.0	2743812096.0	176238592.0	2771034112.0	1109395317.0	366553484.0	73414.0	6921.0	762513715.0	2244053.0	35281.0	110.0	/scratch1/btsheal/work/01/63640f0bbb5bfcdb8a6bb563b0c7c4			6242696	SRX4171005
6360	3398104.pbs02	fastqc_1	SRX2024356	fastqc_1 (SRX2024356)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630008128618	1630008141646	1630009569512	1440894	1422320		37.5	0.7	230584320.0	2743812096.0	230584320.0	2771034112.0	56008275086.0	18667523780.0	3461367.0	46915.0	37361157297.0	4672032.0	2198488.0	551.0	/scratch1/btsheal/work/01/6ac60eafdfb617cbb4ca728b79ddc3			262276088	SRX2024356
1156	3390989.pbs02	fastqc_1	ERX1268159	fastqc_1 (ERX1268159)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629988315252	1629988324176	1629988529351	214099	204780		53.4	0.5	172208128.0	2739617792.0	173117440.0	2798641152.0	15000626590.0	4996944796.0	930080.0	15671.0	10023335291.0	2265340.0	547772.0	140.0	/scratch1/btsheal/work/01/a80278fad71ce2a14ec259f2787185			80602468	ERX1268159
5847	3397375.pbs02	fastqc_1	SRX4170976	fastqc_1 (SRX4170976)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630006137391	1630006145230	1630006206150	68759	46663		14.3	0.5	161243136.0	2743812096.0	161243136.0	2771034112.0	37801013.0	9668325.0	7699.0	6779.0	47982743.0	2608711.0	9627.0	110.0	/scratch1/btsheal/work/01/c40d9276d8b9bd9c00099628020fc6			97532	SRX4170976
3665	3394148.pbs02	fastqc_1	SRX1074747	fastqc_1 (SRX1074747)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629997790566	1629997840913	1629998934890	1144324	1096287		58.5	0.7	244043776.0	2743812096.0	244043776.0	2798641152.0	77429916115.0	25808500172.0	4782834.0	61646.0	51642171977.0	4893732.0	2776803.0	129.0	/scratch1/btsheal/work/02/363c309582d1c7715268415c189424			294581704	SRX1074747
5024	3396496.pbs02	fastqc_1	SRX3771510	fastqc_1 (SRX3771510)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630002906972	1630002917006	1630003044912	137940	127819		64.3	0.4	147111936.0	2733613056.0	147111936.0	2733629440.0	8040395428.0	2676701885.0	500655.0	10745.0	5383218719.0	2043648.0	260315.0	115.0	/scratch1/btsheal/work/02/b9b6bbf22b48ed66ebaacdb66fdffd			59765420	SRX3771510
