task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	index_bytes	sample_id
5953	3397595.pbs02	kallisto	SRX2190871	kallisto (SRX2190871)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630006573526	1630006590036	1630006664970	91444	70363		49.4	3.5	1794576384.0	2222174208.0	1794576384.0	2222206976.0	3825267952.0	952648945.0	236910.0	50270.0	1908272753.0	2160578.0	64765.0	49.0	/scratch1/btsheal/work/00/4ae5ff9637fa7714601c09e90450b5			21459248	973695034	SRX2190871
8925	3402118.pbs02	kallisto	SRX1796766	kallisto (SRX1796766)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630017830597	1630017838064	1630018072114	241517	233156		59.8	3.5	1794629632.0	2222174208.0	1794629632.0	2222206976.0	22151580578.0	7061501599.0	994262.0	61922.0	14125814497.0	2242357.0	556245.0	79.0	/scratch1/btsheal/work/00/8ab83ebb3e206ceec0b78105b62cfb			113761792	973695034	SRX1796766
6246	3397982.pbs02	kallisto	SRX1397880	kallisto (SRX1397880)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630007660821	1630007669507	1630007702604	41783	28452		64.0	3.5	1793908736.0	2222174208.0	1793908736.0	2222206976.0	2361054318.0	464137769.0	176400.0	49339.0	932130333.0	1720614.0	33150.0	46.0	/scratch1/btsheal/work/00/d00bb7dcd52bdc57c1d0b50986a4c6			7465048	973695034	SRX1397880
5584	3397112.pbs02	kallisto	SRX1425896	kallisto (SRX1425896)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630005121986	1630005132699	1630005548618	426632	416811		40.5	3.5	1785593856.0	2215858176.0	1785593856.0	2282999808.0	29433139433.0	9488844906.0	1295181.0	66554.0	18980187074.0	2399385.0	741085.0	82.0	/scratch1/btsheal/work/01/2ce13564b0ed8cec96d5de8dcd5a65			134808952	973695034	SRX1425896
1068	3390901.pbs02	kallisto	DRX089047	kallisto (DRX089047)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629987984639	1629987992586	1629988047910	63271	56234		79.6	3.5	1794097152.0	2222174208.0	1794097152.0	2288263168.0	6070093510.0	1700619671.0	329681.0	51698.0	3404823110.0	1856123.0	112769.0	42.0	/scratch1/btsheal/work/01/383b54e8985c060e2d8fffa0ff36d9			27773324	973695034	DRX089047
1221	3391057.pbs02	kallisto	ERX1659463	kallisto (ERX1659463)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629988564604	1629988574769	1629988758274	193670	184648		68.4	3.5	1789980672.0	2219028480.0	1789980672.0	2219061248.0	22305707779.0	7112926419.0	1000635.0	62024.0	14228565978.0	2291446.0	524231.0	46.0	/scratch1/btsheal/work/01/4fe29a80f8052dbb162355db9008c3			114036440	973695034	ERX1659463
2043	3392442.pbs02	kallisto	SRX2095261	kallisto (SRX2095261)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629991608346	1629991612824	1629991836749	228403	219779		74.9	3.5	1794281472.0	2222174208.0	1794281472.0	2222206976.0	26144823045.0	8392597802.0	1159286.0	64461.0	17761677257.0	2257735.0	621175.0	60.0	/scratch1/btsheal/work/01/5a614dd40a68e39670a7ec1e7e1267			134067780	973695034	SRX2095261
9064	3402252.pbs02	kallisto	SRX2248406	kallisto (SRX2248406)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630018358695	1630018366389	1630018587959	229264	215437		58.8	3.5	1784094720.0	2219028480.0	1784094720.0	2285641728.0	22536675728.0	7189845382.0	1010177.0	62167.0	14382544597.0	2221092.0	538539.0	45.0	/scratch1/btsheal/work/01/887feaedcb9ca75ceb0f0012e2f0dc			82313812	973695034	SRX2248406
7851	3400065.pbs02	kallisto	SRX799503	kallisto (SRX799503)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630013718423	1630013722989	1630013784374	65951	55166		144.9	0.7	1794658304.0	2222174208.0	1794658304.0	2222206976.0	22503998772.0	7179008430.0	1008826.0	62146.0	14360759382.0	2276744.0	507864.0	85.0	/scratch1/btsheal/work/01/888ad11e925187484c2c4e2175308c			119489972	973695034	SRX799503
5499	3397028.pbs02	kallisto	SRX465463	kallisto (SRX465463)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630004791326	1630004801157	1630004880753	89427	77521		53.5	3.6	1808973824.0	2233008128.0	1810501632.0	2235727872.0	5117976469.0	1383433076.0	290333.0	51092.0	2770078426.0	2041871.0	87760.0	55.0	/scratch1/btsheal/work/02/9e56273d6aea5809c6da79e92688cc			27486168	973695034	SRX465463
