task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
792	1313165	read_sample_file	DRX084629.sample.csv	read_sample_file (DRX084629.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987021466	1629987021499	1629987027887	6421	28		29.6	0.0	0.0	0.0	0.0	0.0	54988.0	257.0	124.0	13.0	301191.0	0.0	0.0	0.0	/scratch1/btsheal/work/00/1e93f8389d865d982ced4170f0b7ac		
8133	1498051	read_sample_file	SRX1555357.sample.csv	read_sample_file (SRX1555357.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630014730638	1630014736129	1630014747874	17236	41		35.0	0.0	0.0	0.0	0.0	0.0	54997.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/00/3a7aeef2242f8147c5413474620730		
1705	1333940	read_sample_file	SRX1067578.sample.csv	read_sample_file (SRX1067578.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629990053405	1629990053468	1629990059473	6068	45		41.2	0.0	0.0	0.0	0.0	0.0	54994.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/00/ba8fce9d09fadb67c2f485e3a591d6		
7473	1480581	read_sample_file	SRX660703.sample.csv	read_sample_file (SRX660703.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630012118263	1630012123351	1630012125093	6830	31		26.1	0.0	0.0	0.0	0.0	0.0	54992.0	258.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/02/10c0098f5f9ec028e71f7f6006a881		
9481	1531618	read_sample_file	SRX283767.sample.csv	read_sample_file (SRX283767.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019802319	1630019802385	1630019817719	15400	30		41.4	0.0	0.0	0.0	0.0	0.0	54993.0	258.0	124.0	13.0	301191.0	0.0	0.0	0.0	/scratch1/btsheal/work/02/4f4462eec2b50d521011d471cd9518		
2312	1349236	read_sample_file	SRX2733566.sample.csv	read_sample_file (SRX2733566.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629992472523	1629992472572	1629992484320	11797	5314		0.9	0.0	0.0	0.0	0.0	0.0	55022.0	290.0	125.0	13.0	301228.0	0.0	0.0	0.0	/scratch1/btsheal/work/02/6fd54a6d550c352f548e89f666897c		
1677	1332993	read_sample_file	SRX799510.sample.csv	read_sample_file (SRX799510.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629989975041	1629989975090	1629989981912	6871	46		35.7	0.0	0.0	0.0	0.0	0.0	54988.0	258.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/02/95b19b1c03b7c5f0716f4fdb99b23a		
4394	1402371	read_sample_file	SRX2480806.sample.csv	read_sample_file (SRX2480806.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630000404910	1630000404989	1630000420585	15675	46		26.1	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/02/cb63f5444afd9e8e28e2aac0fd2a84		
5358	1426965	read_sample_file	SRX1868719.sample.csv	read_sample_file (SRX1868719.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630004168918	1630004168999	1630004190578	21660	5392		0.7	0.0	4030464.0	9777152.0	4030464.0	9793536.0	54992.0	257.0	124.0	13.0	301195.0	0.0	22.0	1.0	/scratch1/btsheal/work/02/deb0e5e3afa6a74fb60f53f1285a79		
6705	1461315	read_sample_file	SRX4170255.sample.csv	read_sample_file (SRX4170255.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009263209	1630009263289	1630009269482	6273	37		45.2	0.0	0.0	0.0	0.0	0.0	54997.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/03/b00e95b5c6d131a47be981ca44c35c		
8190	1499415	read_sample_file	SRX1705542.sample.csv	read_sample_file (SRX1705542.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630014901517	1630014901591	1630014902726	1209	34		25.0	0.0	0.0	0.0	0.0	0.0	54995.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/03/fbefc39376003945e135c9279c8dc8		
4358	1401557	read_sample_file	SRX4171120.sample.csv	read_sample_file (SRX4171120.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630000282550	1630000282628	1630000294574	12024	23		37.5	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/04/2a35f1075e2d2178457fca60978acd		
4763	1411753	read_sample_file	SRX3652560.sample.csv	read_sample_file (SRX3652560.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630001785587	1630001785690	1630001792225	6638	55		25.6	0.0	0.0	0.0	0.0	0.0	54995.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/04/f407596798a036a789044d9b1e7c60		
2547	1355421	read_sample_file	SRX528631.sample.csv	read_sample_file (SRX528631.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629993438118	1629993438185	1629993449807	11689	41		36.4	0.0	0.0	0.0	0.0	0.0	54991.0	259.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/05/3efdbab326e2c5220159983b8fb7c0		
4000	1392526	read_sample_file	SRX1705057.sample.csv	read_sample_file (SRX1705057.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629998910333	1629998915821	1629998922223	11890	51		25.6	0.0	0.0	0.0	0.0	0.0	54996.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/05/935e2e0010f59212f23db0847c6f9a		
