hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	random_min	random_max	chunks	index	n_rows	n_cols	model
23/9124ce	4	2695293.pbs02	phase1_bg	kidney/0	phase1_bg (kidney/0)	COMPLETED	0			1	86400000			1	1623358970740	1623358976483	1623359011491	40751	35440		126.5	1.1	711495680	2661318656	852799488	2728427520	603045116	185555504	41848	45328	1631	4277	9179	240	/scratch1/btsheal/work/23/9124ce702230cc90ce1f57582dfe6e			1	20	16	0	929	19216	lr
97/29e913	5	2695296.pbs02	phase1_bg	kidney/2	phase1_bg (kidney/2)	COMPLETED	0			1	86400000			1	1623358983826	1623358991484	1623359026488	42662	38015		132.8	1.1	710844416	2661318656	852254720	2728427520	603045116	185555504	51198	45328	1631	4277	4172	171	/scratch1/btsheal/work/97/29e9137c4ae302a1402f91807d7b5b			1	20	16	2	929	19216	lr
73/11a1e9	6	2695297.pbs02	phase1_bg	kidney/1	phase1_bg (kidney/1)	COMPLETED	0			1	86400000			1	1623358996974	1623359001487	1623359041488	44514	36653		130.5	1.1	710639616	2661318656	851959808	2728427520	603045116	185555504	45614	45328	1631	4277	4170	168	/scratch1/btsheal/work/73/11a1e9ca49fed630da0689e43bc7ba			1	20	16	1	929	19216	lr
70/d47c45	7	2695310.pbs02	phase1_bg	kidney/3	phase1_bg (kidney/3)	COMPLETED	0			1	86400000			1	1623359049942	1623359056484	1623359096494	46552	37032		133.4	1.1	711069696	2661318656	852295680	2728427520	603045116	185555504	49012	45328	1631	4277	4178	217	/scratch1/btsheal/work/70/d47c4506bc48f188499dd1b4544974			1	20	16	3	929	19216	lr
f6/db7351	9	2695325.pbs02	phase1_bg	kidney/4	phase1_bg (kidney/4)	COMPLETED	0			1	86400000			1	1623359089548	1623359096574	1623359126494	36946	29899		114.6	1.0	707911680	2661322752	849600512	2728431616	603044165	185555351	44252	45328	9823	4187	9183	75	/scratch1/btsheal/work/f6/db7351810c1d1c4d23e6c46b65b410			1	20	16	4	929	19216	lr
9c/9ea9e7	8	2695328.pbs02	phase1_bg	kidney/5	phase1_bg (kidney/5)	COMPLETED	0			1	86400000			1	1623359102652	1623359111492	1623359136497	33845	29015		115.7	1.0	708280320	2661318656	849784832	2728427520	603044165	185555351	41739	45328	1631	4187	4180	209	/scratch1/btsheal/work/9c/9ea9e794f5c90977c0b5d5744d4e67			1	20	16	5	929	19216	lr
7b/50bb79	11	2695332.pbs02	phase1_bg	kidney/6	phase1_bg (kidney/6)	COMPLETED	0			1	86400000			1	1623359128885	1623359136521	1623359166498	37613	29653		118.0	1.0	707182592	2661318656	848719872	2728427520	603044165	185555351	42082	45328	1631	4187	4174	82	/scratch1/btsheal/work/7b/50bb79362f1a1ae24608444555c940			1	20	16	6	929	19216	lr
92/f9b02e	14	2695333.pbs02	phase1_bg	kidney/7	phase1_bg (kidney/7)	COMPLETED	0			1	86400000			1	1623359141968	1623359151496	1623359181500	39532	30475		117.4	1.1	711122944	2661322752	852500480	2728431616	603044165	185555351	47991	45328	1631	4187	4172	241	/scratch1/btsheal/work/92/f9b02e34b98f27d8794029e66b8801			1	20	16	7	929	19216	lr
cf/109e50	15	2695337.pbs02	phase1_bg	kidney/8	phase1_bg (kidney/8)	COMPLETED	0			1	86400000			1	1623359155220	1623359162751	1623359196502	41282	32155		119.0	1.0	707354624	2661314560	848953344	2728423424	603044165	185555351	41740	45328	1631	4187	4171	303	/scratch1/btsheal/work/cf/109e50478e038af26371586cb04fa1			1	20	16	8	929	19216	lr
76/6f02e2	16	2695338.pbs02	phase1_bg	kidney/9	phase1_bg (kidney/9)	COMPLETED	0			1	86400000			1	1623359168425	1623359176501	1623359206502	38077	31589		120.8	1.0	707121152	2661318656	848523264	2728427520	603044173	185555361	49890	45328	1634	4197	4180	89	/scratch1/btsheal/work/76/6f02e22c46e2ab8baa5977ce19c75e			1	20	16	9	929	19216	lr
45/6da0ef	17	2695343.pbs02	phase1_bg	kidney/10	phase1_bg (kidney/10)	COMPLETED	0			1	86400000			1	1623359181803	1623359191502	1623359221498	39695	31529		120.5	1.1	709378048	2661322752	850739200	2728431616	603044172	185555362	56492	45328	1638	4197	4181	95	/scratch1/btsheal/work/45/6da0effed16b9dc69cdad68d27f11c			1	20	16	10	929	19216	lr
cc/dc5b50	18	2695346.pbs02	phase1_bg	kidney/11	phase1_bg (kidney/11)	COMPLETED	0			1	86400000			1	1623359195007	1623359201503	1623359231501	36494	32156		122.5	1.0	708870144	2661318656	850178048	2728427520	603044172	185555362	42293	45328	1638	4197	4171	293	/scratch1/btsheal/work/cc/dc5b50e946c1f6625b9eee5207aee3			1	20	16	11	929	19216	lr
b4/b81b56	19	2695348.pbs02	phase1_bg	kidney/12	phase1_bg (kidney/12)	COMPLETED	0			1	86400000			1	1623359208118	1623359216503	1623359246504	38386	32714		121.8	1.0	707579904	2661318656	848904192	2728427520	603044172	185555362	47237	45328	1638	4197	4188	131	/scratch1/btsheal/work/b4/b81b566679b6be97f9e21ca168cba6			1	20	16	12	929	19216	lr
64/40a692	20	2695351.pbs02	phase1_bg	kidney/13	phase1_bg (kidney/13)	COMPLETED	0			1	86400000			1	1623359221291	1623359226503	1623359261514	40223	33765		123.4	1.1	710180864	2661318656	851554304	2728427520	603044172	185555362	43170	45328	1638	4197	8354	126	/scratch1/btsheal/work/64/40a692d9479fac24e89da790de5d0e			1	20	16	13	929	19216	lr
84/3e901c	21	2695352.pbs02	phase1_bg	kidney/14	phase1_bg (kidney/14)	COMPLETED	0			1	86400000			1	1623359234400	1623359241503	1623359276518	42118	33238		123.4	1.1	711147520	2661322752	852369408	2728431616	603044172	185555362	51340	45328	1638	4197	4178	130	/scratch1/btsheal/work/84/3e901ca2012a382da9aab3d9b2dd4b			1	20	16	14	929	19216	lr
4a/287ec8	22	2695355.pbs02	phase1_bg	kidney/15	phase1_bg (kidney/15)	COMPLETED	0			1	86400000			1	1623359247461	1623359256517	1623359291516	44055	33949		124.5	1.1	711204864	2661322752	852488192	2728431616	603044172	185555362	41793	45328	1638	4197	4895	238	/scratch1/btsheal/work/4a/287ec8216af1fa1304f8c51ec9a9d2			1	20	16	15	929	19216	lr
53/5f7a48	5	2692594.pbs02	phase1_bg	kidney/1	phase1_bg (kidney/1)	COMPLETED	0			1	86400000			1	1623354324419	1623354351744	1623354396657	72238	42596		140.2	1.1	711032832	2661318656	852406272	2728427520	603046097	185555656	42788	45328	13915	4367	9189	204	/scratch1/btsheal/work/53/5f7a48fa9f7ec9e6308beb1fc5e8fb			1	20	8	1	929	19216	lr
8c/514eaf	6	2692628.pbs02	phase1_bg	kidney/0	phase1_bg (kidney/0)	COMPLETED	0			1	86400000			1	1623354363629	1623354421653	1623354461661	98032	40776		139.0	1.1	711630848	2661318656	852779008	2728427520	603046097	185555646	44511	45328	1627	4357	4175	167	/scratch1/btsheal/work/8c/514eafdefc3c57676c803f783acd6e			1	20	8	0	929	19216	lr
a9/446352	4	2692651.pbs02	phase1_bg	kidney/2	phase1_bg (kidney/2)	COMPLETED	0			1	86400000			1	1623354376957	1623354421658	1623354466662	89705	45436		142.8	1.1	710701056	2661322752	852230144	2728431616	603046072	185555656	43030	45328	1627	4367	9178	217	/scratch1/btsheal/work/a9/446352409a24c81456fa612b60c1fb			1	20	8	2	929	19216	lr
eb/028832	11	2692658.pbs02	phase1_bg	kidney/5	phase1_bg (kidney/5)	COMPLETED	0			1	86400000			1	1623354402838	1623354521700	1623354556667	153829	36973		130.7	1.1	710995968	2661318656	852271104	2728427520	603045137	185555503	42282	45328	1627	4277	8365	138	/scratch1/btsheal/work/eb/02883220202cdbb91974d2dbe4b427			1	20	8	5	929	19216	lr
