hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	chunks	gmt_lines	gmt_genes	n_rows	n_cols	model
eb/e561f9	24	2695356.pbs02	phase1_fg	kidney/kidney.0256/01	phase1_fg (kidney/kidney.0256/01)	COMPLETED	0			1	86400000			1	1623359260573	1623359266517	1623359416529	155956	146634		180.8	1.1	711147520	2661318656	852066304	2728427520	603081614	185562427	53696	45330	6617	7307	4190	1182	/scratch1/btsheal/work/eb/e561f96527bb66b88506c956466be1			16	16	202	929	19216	lr
35/bcc1ac	23	2695360.pbs02	phase1_fg	kidney/kidney.0256/00	phase1_fg (kidney/kidney.0256/00)	COMPLETED	0			1	86400000			1	1623359273751	1623359281517	1623359431527	157776	152983		181.5	1.1	711376896	2661318656	852430848	2728427520	603083449	185563040	53083	45330	7142	7507	4193	1232	/scratch1/btsheal/work/35/bcc1ac1bd8a907c295ecb1422f6d81			16	17	228	929	19216	lr
01/9b3ed5	25	2695361.pbs02	phase1_fg	kidney/kidney.0256/02	phase1_fg (kidney/kidney.0256/02)	COMPLETED	0			1	86400000			1	1623359286911	1623359291545	1623359441531	154620	147016		180.7	1.1	711057408	2661314560	851984384	2728423424	603080959	185562286	55590	45330	6800	7107	4198	1183	/scratch1/btsheal/work/01/9b3ed5e70e0bb01730a08ae2319218			16	15	211	929	19216	lr
4f/e6db30	26	2695363.pbs02	phase1_fg	kidney/kidney.0256/04	phase1_fg (kidney/kidney.0256/04)	COMPLETED	0			1	86400000			1	1623359299981	1623359306520	1623359451532	151551	142795		179.6	1.1	711163904	2661314560	852156416	2728423424	603082189	185562657	50542	45330	6962	7307	4200	1179	/scratch1/btsheal/work/4f/e6db30e056effe978446e55764aa4d			16	16	218	929	19216	lr
63/8a67b6	27	2695364.pbs02	phase1_fg	kidney/kidney.0256/03	phase1_fg (kidney/kidney.0256/03)	COMPLETED	0			1	86400000			1	1623359313074	1623359321525	1623359461532	148458	141679		178.8	1.1	710692864	2661314560	852013056	2728423424	603083846	185563074	46584	45330	789584513	7707	17579	1398	/scratch1/btsheal/work/63/8a67b627b187008549cf46d3706e89			16	18	213	929	19216	lr
b2/559781	28	2695365.pbs02	phase1_fg	kidney/kidney.0256/05	phase1_fg (kidney/kidney.0256/05)	COMPLETED	0			1	86400000			1	1623359326685	1623359421533	1623359571565	244880	148957		179.9	1.0	707518464	2661318656	848908288	2728427520	603082979	185562852	44657	45330	6860	7507	8386	1631	/scratch1/btsheal/work/b2/5597813fec04bb2d7f6eed3ff78698			16	17	216	929	19216	lr
d8/6760d1	34	2695384.pbs02	phase1_fg	kidney/kidney.0256/11	phase1_fg (kidney/kidney.0256/11)	COMPLETED	0			1	86400000			1	1623359405918	1623359441587	1623359591581	185663	149995		181.4	1.0	707063808	2661322752	848384000	2728431616	603082754	185562762	57890	45330	6725	7507	4196	1263	/scratch1/btsheal/work/d8/6760d13d4e5e70bca397a2e5f261d3			16	17	206	929	19216	lr
dc/ea287c	31	2695376.pbs02	phase1_fg	kidney/kidney.0256/08	phase1_fg (kidney/kidney.0256/08)	COMPLETED	0			1	86400000			1	1623359353119	1623359451571	1623359601570	248451	151159		181.2	1.1	710115328	2661318656	851533824	2728427520	603081984	185562575	55814	45330	6839	7307	4197	1174	/scratch1/btsheal/work/dc/ea287cc2552d3a92e8fa93b206c8b5			16	16	217	929	19216	lr
d0/0e20a4	33	2695383.pbs02	phase1_fg	kidney/kidney.0256/10	phase1_fg (kidney/kidney.0256/10)	COMPLETED	0			1	86400000			1	1623359392790	1623359461577	1623359606577	213787	144883		180.2	1.0	708427776	2661318656	849756160	2728427520	603080949	185562282	54460	45330	6794	7107	4196	1312	/scratch1/btsheal/work/d0/0e20a46ce84c1956a6341285a1926f			16	15	209	929	19216	lr
57/e18c47	32	2695379.pbs02	phase1_fg	kidney/kidney.0256/09	phase1_fg (kidney/kidney.0256/09)	COMPLETED	0			1	86400000			1	1623359379576	1623359476539	1623359611579	232003	136373		180.2	1.1	712462336	2661318656	852262912	2728427520	603082052	185562595	56517	45330	6869	7307	9205	1559	/scratch1/btsheal/work/57/e18c47c444c65e4e9c9e032fbc01be			16	16	218	929	19216	lr
