hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	chunks	gmt_lines
c1/941daa	120	2697875.pbs02	phase1_merge	kidney/kidney.0032	phase1_merge (kidney/kidney.0032)	COMPLETED	0			1	86400000			1	1623363344528	1623363350498	1623363350505	5977	541		14.5	0.0	7655424	900759552	7655424	900759552	323101	25030	679	82	27064	16231	236	0	/scratch1/btsheal/work/c1/941daadbaf65f1f324c77f5cc20e71			16	552
a0/d2fbdd	119	2697876.pbs02	phase1_merge	kidney/kidney.0256	phase1_merge (kidney/kidney.0256)	COMPLETED	0			1	86400000			1	1623363357809	1623363365498	1623363365506	7697	530		12.9	0.0	7823360	900759552	7823360	900759552	505302	159432	680	88	164464	105831	235	1	/scratch1/btsheal/work/a0/d2fbdd0befb813b51e1f8395015a2e			16	2792
a1/c44c37	121	2697879.pbs02	phase1_merge	kidney/kidney.1024	phase1_merge (kidney/kidney.1024)	COMPLETED	0			1	86400000			1	1623363370950	1623363375499	1623363380503	9553	508		15.4	0.0	7901184	900759552	7901184	900759552	1124484	620234	696	123	630045	413031	252	0	/scratch1/btsheal/work/a1/c44c3764966ba5e4a0028a0df2c944			16	10472
72/c3773d	122	2697880.pbs02	phase1_merge	kidney/kidney.0128	phase1_merge (kidney/kidney.0128)	COMPLETED	0			1	86400000			1	1623363384352	1623363390500	1623363390507	6155	534		14.7	0.0	7700480	900759552	7700480	900759552	400902	82632	680	85	85664	54631	220	1	/scratch1/btsheal/work/72/c3773d021cca505a39cb8bc2a3fc87			16	1512
21/386547	124	2697881.pbs02	phase1_merge	kidney/kidney.0512	phase1_merge (kidney/kidney.0512)	COMPLETED	0			1	86400000			1	1623363397693	1623363405500	1623363405507	7814	534		12.8	0.0	7950336	900759552	7950336	900759552	713702	313032	680	94	321664	208231	233	2	/scratch1/btsheal/work/21/3865474b83d9b6a16c289938eca3f5			16	5352
fa/c4f98e	123	2697882.pbs02	phase1_merge	kidney/kidney.0064	phase1_merge (kidney/kidney.0064)	COMPLETED	0			1	86400000			1	1623363410892	1623363415499	1623363420507	9615	494		13.8	0.0	7606272	900759552	7606272	900759552	349301	44230	680	83	46864	29031	234	3	/scratch1/btsheal/work/fa/c4f98eb1c8ce5bfa155f15b029f95f			16	872
f0/6e1756	64	2695137.pbs02	phase1_merge	kidney/kidney.1024	phase1_merge (kidney/kidney.1024)	COMPLETED	0			1	86400000			1	1623358195598	1623358294989	1623358299995	104397	301		15.9	0.0	7753728	900759552	7753728	900759552	1039067	620057	488	99	629180	413031	221	1	/scratch1/btsheal/work/f0/6e1756948d261cb987ce8fb35e2c5f			8	10456
ca/fd8b56	63	2695140.pbs02	phase1_merge	kidney/kidney.0032	phase1_merge (kidney/kidney.0032)	COMPLETED	0			1	86400000			1	1623358208654	1623358300134	1623358300140	91486	282		13.7	0.0	7069696	678481920	7069696	678481920	238284	24853	455	50	26799	16231	250	2	/scratch1/btsheal/work/ca/fd8b563bc83e9bf33e62c297dce5ef			8	536
7d/497921	66	2695143.pbs02	phase1_merge	kidney/kidney.0256	phase1_merge (kidney/kidney.0256)	COMPLETED	0			1	86400000			1	1623358231938	1623358300271	1623358304997	73059	287		13.4	0.0	7811072	900759552	7811072	900759552	423085	159255	456	56	166799	105831	225	0	/scratch1/btsheal/work/7d/497921fb264b26eeaeada802684de4			8	2776
50/533bea	68	2695144.pbs02	phase1_merge	kidney/kidney.0512	phase1_merge (kidney/kidney.0512)	COMPLETED	0			1	86400000			1	1623358244802	1623358305105	1623358305110	60308	284		16.8	0.0	7589888	900759552	7589888	900759552	629490	312855	464	70	321980	208231	239	1	/scratch1/btsheal/work/50/533bea339df0691504ec742551fc64			8	5336
