hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	chunks	gmt_lines	gmt_genes
be/16463e	125	2697885.pbs02	phase1_select		phase1_select (1)	COMPLETED	0			1	86400000			1	1623363424177	1623363430498	1623363455514	31337	25104		97.5	0.9	585134080	2480873472	585134080	2480873472	226622694	253307	6594	25	9207	53536	7817	56	/scratch1/btsheal/work/be/16463eac2b0adfe0aa39da2acb1cad			16	1024	13973
03/b0638d	126	2697886.pbs02	phase1_select		phase1_select (2)	COMPLETED	0			1	86400000			1	1623363437355	1623363441860	1623363470519	33164	23995		97.6	0.9	592498688	2486218752	592498688	2486218752	226283012	89305	6575	25	54007	43330	3527	53	/scratch1/btsheal/work/03/b0638d8780d195b1bba2d8aa8ba303			16	256	3410
b4/fe6c53	127	2697887.pbs02	phase1_select		phase1_select (3)	COMPLETED	0			1	86400000			1	1623363450592	1623363455545	1623363480517	29925	23650		98.4	0.9	593694720	2489106432	593694720	2489106432	226327675	11395	6570	25	207607	8998	3528	67	/scratch1/btsheal/work/b4/fe6c5368323ef2694dfc3cf4e2cc17			16	32	422
56/162b0e	128	2697888.pbs02	phase1_select		phase1_select (4)	COMPLETED	0			1	86400000			1	1623363463819	1623363470536	1623363495519	31700	23953		98.5	0.9	592646144	2488709120	592646144	2488709120	226390537	140591	6582	25	28407	41366	3534	56	/scratch1/btsheal/work/56/162b0efba9c79b4ec30976ca497448			16	512	7096
34/3398db	129	2697889.pbs02	phase1_select		phase1_select (5)	COMPLETED	0			1	86400000			1	1623363477061	1623363485520	1623363510520	33459	23922		98.5	0.9	585789440	2483433472	585789440	2483433472	226241610	22988	6570	25	105207	14057	3531	54	/scratch1/btsheal/work/34/3398db529e0d45ee2fcbbde6464a45			16	64	865
ed/ba8d2c	130	2697893.pbs02	phase1_select		phase1_select (6)	COMPLETED	0			1	86400000			1	1623363490181	1623363495542	1623363520519	30338	24051		98.5	0.9	585428992	2482716672	585428992	2482716672	226185222	39460	6571	25	15607	17241	3528	65	/scratch1/btsheal/work/ed/ba8d2c3bfb3152041cc7150206e2f3			16	128	1786
d3/8f2d96	69	2695146.pbs02	phase1_select		phase1_select (1)	COMPLETED	0			1	86400000			1	1623358313240	1623358319993	1623358349998	36758	28144		93.7	1.0	665186304	2539765760	667308032	2542145536	226821096	363004	6594	25	393521910	163234	15631	167	/scratch1/btsheal/work/d3/8f2d96f63688744f17d69f58067f7d			8	1024	13973
c1/c6461f	70	2695147.pbs02	phase1_select		phase1_select (2)	COMPLETED	0			1	86400000			1	1623358326354	1623358334994	1623358359997	33643	24238		98.4	0.9	585322496	2482221056	585322496	2482221056	226238211	65089	6575	25	37878	19115	3577	59	/scratch1/btsheal/work/c1/c6461f602e0787d3f996e2f69e0107			8	256	3410
18/d08eb0	71	2695149.pbs02	phase1_select		phase1_select (3)	COMPLETED	0			1	86400000			1	1623358339250	1623358346387	1623358369999	30749	23850		98.4	0.9	587788288	2483965952	587788288	2483965952	226174074	11394	6570	25	58102	8998	3529	217	/scratch1/btsheal/work/18/d08eb0066001b7347f3973aa08f8bb			8	32	422
98/8d21a8	72	2695155.pbs02	phase1_select		phase1_select (4)	COMPLETED	0			1	86400000			1	1623358352946	1623358360013	1623358384999	32053	24627		97.6	0.9	590409728	2485010432	590409728	2485010432	226467341	183515	6583	25	158454	84291	3524	58	/scratch1/btsheal/work/98/8d21a801ae1c1554c13840f865ffde			8	512	7096
