hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	chunks	gmt_lines
ce/dd1072	2	2695300.pbs02	phase1_split	kidney.0256	phase1_split (kidney.0256)	COMPLETED	0			1	86400000			1	1623359010059	1623359016488	1623359016499	6440	125		14.5	0.0	3260416	227840000	3260416	227840000	187904	49998	218	33	78099	24832	25	1	/scratch1/btsheal/work/ce/dd1072dd906ad0b6a2ed240e33c56a			16	256
86/bd8151	3	2695301.pbs02	phase1_split	kidney.0032	phase1_split (kidney.0032)	COMPLETED	0			1	86400000			1	1623359023200	1623359031486	1623359031492	8292	94		18.6	0.0	4079616	451186688	4079616	451186688	122534	6422	217	33	275	3045	143	2	/scratch1/btsheal/work/86/bd8151d204eba49ee5fc8fcf4c7879			16	32
e3/8d6be3	1	2695303.pbs02	phase1_split	kidney.1024	phase1_split (kidney.1024)	COMPLETED	0			1	86400000			1	1623359036442	1623359041511	1623359041517	5075	85		20.6	0.0	4071424	451186688	4071424	451186688	418585	203792	223	33	275	101728	130	0	/scratch1/btsheal/work/e3/8d6be3d581a2bfa0d1d8753e7e4c12			16	1024
ef/cb4e39	12	2695314.pbs02	phase1_split	kidney.0064	phase1_split (kidney.0064)	COMPLETED	0			1	86400000			1	1623359063135	1623359091492	1623359091505	28370	138		13.2	0.0	3284992	227840000	3284992	227840000	132335	12956	217	33	8467	6312	18	1	/scratch1/btsheal/work/ef/cb4e39abe29ae60a498914927c7e96			16	64
eb/fdc54f	10	2695321.pbs02	phase1_split	kidney.0128	phase1_split (kidney.0128)	COMPLETED	0			1	86400000			1	1623359076337	1623359096523	1623359096530	20193	116		15.7	0.0	3305472	227840000	3305472	227840000	152270	26242	217	33	275	12954	26	0	/scratch1/btsheal/work/eb/fdc54f71b1acae800daa6b0bb812f2			16	128
a4/95191d	13	2695331.pbs02	phase1_split	kidney.0512	phase1_split (kidney.0512)	COMPLETED	0			1	86400000			1	1623359115770	1623359121496	1623359121503	5733	131		13.9	0.0	3981312	451186688	3981312	451186688	267779	103248	220	33	275	51457	82	1	/scratch1/btsheal/work/a4/95191db3eff034b7366a94e2e887b8			16	512
7f/04266f	1	2692544.pbs02	phase1_split	kidney.1024	phase1_split (kidney.1024)	COMPLETED	0			1	86400000			1	1623354311490	1623354351652	1623354351660	40170	80		11.0	0.0	3964928	451186688	3964928	451186688	418606	203791	223	25	61712	101728	105	1	/scratch1/btsheal/work/7f/04266f281897e10f73a2e0b891b5f1			8	1024
85/5bacb2	3	2692596.pbs02	phase1_split	kidney.0032	phase1_split (kidney.0032)	COMPLETED	0			1	86400000			1	1623354337416	1623354351761	1623354351798	14382	74		22.9	0.0	3940352	451186688	3940352	451186688	122531	6421	217	25	272	3045	95	1	/scratch1/btsheal/work/85/5bacb2d2ae7a278724bd8ed672fa51			8	32
e1/33ad9d	2	2692603.pbs02	phase1_split	kidney.0256	phase1_split (kidney.0256)	COMPLETED	0			1	86400000			1	1623354350448	1623354416651	1623354416658	66210	60		27.4	0.0	4022272	451186688	4022272	451186688	187917	49997	218	25	272	24832	107	0	/scratch1/btsheal/work/e1/33ad9d4ccb2ab4087a9a74e10664a2			8	256
a1/7971e7	9	2692657.pbs02	phase1_split	kidney.0064	phase1_split (kidney.0064)	COMPLETED	0			1	86400000			1	1623354389905	1623354521662	1623354521670	131765	85		20.8	0.0	3289088	227840000	3289088	227840000	132356	12955	217	25	272	6312	25	0	/scratch1/btsheal/work/a1/7971e76387d739bccf98c4e023a66a			8	64
60/93a383	10	2692665.pbs02	phase1_split	kidney.0128	phase1_split (kidney.0128)	COMPLETED	0			1	86400000			1	1623354441931	1623354526670	1623354526678	84747	74		22.9	0.0	3379200	227840000	3379200	227840000	152318	26241	217	25	78096	12954	24	0	/scratch1/btsheal/work/60/93a383444a1449c7eebcaa0bc42371			8	128
b4/927264	7	2692660.pbs02	phase1_split	kidney.0512	phase1_split (kidney.0512)	COMPLETED	0			1	86400000			1	1623354415905	1623354571664	1623354571672	155767	62		13.3	0.0	3162112	227840000	3162112	227840000	267827	103247	220	25	53520	51457	19	1	/scratch1/btsheal/work/b4/927264aa72d7ad411475877ac873cd			8	512
ae/73667f	1	2688699.pbs02	phase1_split	kidney.1024	phase1_split (kidney.1024)	COMPLETED	0			1	86400000			1	1623342433982	1623342436111	1623342439819	5837	51		15.7	0.0	3289088	227840000	3289088	227840000	418602	203791	223	21	272	101728	19	1	/scratch1/btsheal/work/ae/73667f8f557c6d6eb5aa4095ccfb2d			4	1024
51/edca1c	7	2688705.pbs02	phase1_split	kidney.0512	phase1_split (kidney.0512)	COMPLETED	0			1	86400000			1	1623342473525	1623342479817	1623342479826	6301	38		39.5	0.0	3362816	227840000	3362816	227840000	267788	103247	220	21	272	51457	19	0	/scratch1/btsheal/work/51/edca1ce7394d1973e361157c9d3427			4	512
e8/291b10	2	2688706.pbs02	phase1_split	kidney.0256	phase1_split (kidney.0256)	COMPLETED	0			1	86400000			1	1623342486711	1623342494818	1623342494827	8116	49		16.5	0.0	3272704	227840000	3272704	227840000	187913	49997	218	21	272	24832	17	0	/scratch1/btsheal/work/e8/291b1092375210c34a20cc06354806			4	256
0d/626fd9	3	2688707.pbs02	phase1_split	kidney.0032	phase1_split (kidney.0032)	COMPLETED	0			1	86400000			1	1623342499910	1623342504817	1623342504824	4914	50		32.3	0.0	3301376	227840000	3301376	227840000	122551	6421	217	21	272	3045	16	0	/scratch1/btsheal/work/0d/626fd95d10e6069a162cd1698ec436			4	32
