hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	chunks	gmt_lines	gmt_genes	n_rows	n_cols
b0/0e4469	132	2697894.pbs02	phase2_rf	kidney/kidney.0032	phase2_rf (kidney/kidney.0032)	COMPLETED	0			1	86400000			1	1623363503323	1623363510539	1623363550519	47196	40542		98.5	1.1	715022336	2595323904	853688320	2730889216	608714616	186286120	56205	45363	10599	716035	5238	112	/scratch1/btsheal/work/b0/0e4469e3471421232f68a20ff95ed1			16	32	409	929	19216
ca/2e7eab	136	2697898.pbs02	phase2_rf	kidney/kidney.1024	phase2_rf (kidney/kidney.1024)	COMPLETED	0			1	86400000			1	1623363529568	1623363535522	1623363575524	45956	40820		98.6	1.1	717197312	2595323904	855629824	2730872832	608715131	186273461	57274	45363	10908	703171	4478	102	/scratch1/btsheal/work/ca/2e7eab2e784433ca86826e0fd29fcb			16	32	422	929	19216
44/117e24	139	2697900.pbs02	phase2_rf	kidney/kidney.0512	phase2_rf (kidney/kidney.0512)	COMPLETED	0			1	86400000			1	1623363555788	1623363561929	1623363621892	66104	57017		97.8	1.1	715702272	2596634624	852938752	2730876928	608834890	187007764	63011	45396	20709	1417801	8262	218	/scratch1/btsheal/work/44/117e24f538ce10bb77c5660dc7cca3			16	64	865	929	19216
cb/f64906	142	2697901.pbs02	phase2_rf	kidney/kidney.0064	phase2_rf (kidney/kidney.0064)	COMPLETED	0			1	86400000			1	1623363568976	1623363575607	1623363630529	61553	55104		98.0	1.1	718573568	2596896768	855642112	2730356736	608836396	186999452	58115	45396	21618	1408879	9802	102	/scratch1/btsheal/work/cb/f64906d033d23df398226cf4cc5db8			16	64	919	929	19216
b0/8befb1	137	2697899.pbs02	phase2_rf	kidney/kidney.0128	phase2_rf (kidney/kidney.0128)	COMPLETED	0			1	86400000			1	1623363542674	1623363550591	1623363640526	97852	87845		98.5	1.1	719040512	2597163008	855531520	2730352640	609073960	188460355	76046	45463	40041	2831209	5330	155	/scratch1/btsheal/work/b0/8befb1546bb856b99e5f402b9558af			16	128	1758	929	19216
e4/796bca	133	2697895.pbs02	phase2_rf	kidney/kidney.0256	phase2_rf (kidney/kidney.0256)	COMPLETED	0			1	86400000			1	1623363516468	1623363525516	1623363675528	159060	151886		98.3	1.1	719323136	2597158912	855777280	2730881024	609548038	191327477	106822	45598	76269	5621616	6505	256	/scratch1/btsheal/work/e4/796bca3745e5e0885f20927d386503			16	256	3410	929	19216
c4/bce5e4	78	2695209.pbs02	phase2_rf	kidney/kidney.0032	phase2_rf (kidney/kidney.0032)	COMPLETED	0			1	86400000			1	1623358405843	1623358424995	1623358467104	61261	41304		97.6	1.1	717516800	2595590144	855592960	2730876928	608715310	186279325	50245	45363	11015	708966	4466	88	/scratch1/btsheal/work/c4/bce5e4b34beb859133cd9e94c1c521			8	32	423	929	19216
4b/2f689f	80	2695210.pbs02	phase2_rf	kidney/kidney.0256	phase2_rf (kidney/kidney.0256)	COMPLETED	0			1	86400000			1	1623358419038	1623358430001	1623358470006	50968	41181		98.2	1.1	714768384	2595323904	852897792	2730352640	608715130	186269578	61834	45363	10907	699289	4453	94	/scratch1/btsheal/work/4b/2f689f41019f5edb65d49703270c46			8	32	422	929	19216
3c/9f54a8	83	2695214.pbs02	phase2_rf	kidney/kidney.0128	phase2_rf (kidney/kidney.0128)	COMPLETED	0			1	86400000			1	1623358447852	1623358455004	1623358515029	67177	55483		97.6	1.1	719065088	2596638720	856023040	2730876928	608834905	187013987	69787	45396	20708	1424025	9779	278	/scratch1/btsheal/work/3c/9f54a82652ffcbeba0bb31fbf24cb0			8	64	865	929	19216
b1/9fab72	86	2695215.pbs02	phase2_rf	kidney/kidney.0064	phase2_rf (kidney/kidney.0064)	COMPLETED	0			1	86400000			1	1623358461009	1623358505026	1623358560027	99018	56786		98.3	1.1	715620352	2596634624	852672512	2730876928	608836404	187002631	67796	45396	21617	1412059	6464	132	/scratch1/btsheal/work/b1/9fab72de540df26c2e52e37666cc10			8	64	919	929	19216
