hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	blocksize	geometry	hardware_type	latticetype	ngpus	np	n_sites
25/9ab26c	2	1859366.pbs02	hemelb		hemelb (218)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615482733318	1615482741379	1615526749998	44016680	44008461		198.6	11.6	15653892096.0	17333399552.0	15653892096.0	17397501952.0	63940992.0	6705540.0	63555.0	1872.0	54019201.0	12860909.0	57584.0	1340028.0	/scratch1/btsheal/work/25/9ab26c79a522cd2b6145e8426b15ab			512	C0003	cpu	D3Q19	0	2	12265497
e0/3960d4	3	1859367.pbs02	hemelb		hemelb (219)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615482824406	1615482831408	1615505793893	22969487	22961989		398.2	12.8	17240461312.0	19609116672.0	17240670208.0	19689365504.0	64424802.0	90503639.0	64671.0	3423.0	56440499.0	12917321.0	58363.0	1541556.0	/scratch1/btsheal/work/e0/3960d4d150df76e659ddc8977c44ba			512	C0003	cpu	D3Q19	0	4	12265497
4d/1e9061	1	1859365.pbs02	hemelb		hemelb (217)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615482704421	1615482711373	1615567866995	85162574	85154431		99.6	11.0	14820012032.0	16195366912.0	14822981632.0	16259469312.0	63695793.0	5746436.0	63008.0	1749.0	54025064.0	12996106.0	1755.0	889157.0	/scratch1/btsheal/work/4d/1e9061895d14f689f76ff70d44a134			512	C0003	cpu	D3Q19	0	1	12265497
94/0aa8db	4	1859368.pbs02	hemelb		hemelb (220)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615482892945	1615482901392	1615494953535	12060590	12051670		398.3	7.1	9598894080.0	11946409984.0	9601511424.0	12153118720.0	53929458.0	51978893.0	53632.0	3036.0	43020323.0	12981135.0	47675.0	743751.0	/scratch1/btsheal/work/94/0aa8dbddffe55a23bcc2b143046635			512	C0003	cpu	D3Q19	0	8	12265497
df/6a6b75	5	1859410.pbs02	hemelb		hemelb (221)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615483935293	1615483941539	1615489932015	5996722	5989725		198.7	1.9	2557435904.0	3871449088.0	2561642496.0	4005863424.0	32455466.0	11249527.0	30159.0	2252.0	27708104.0	12993197.0	25009.0	200152.0	/scratch1/btsheal/work/df/6a6b75705f591346904c8d9af81dc4			512	C0003	cpu	D3Q19	0	16	12265497
d7/f9f347	6	1859414.pbs02	hemelb		hemelb (222)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615484069016	1615489946328	1615493158020	9089004	3212907		198.0	1.1	1532182528.0	2792656896.0	1534259200.0	2927071232.0	32471218.0	11373199.0	30302.0	2523.0	22018760.0	12994167.0	27263.0	117845.0	/scratch1/btsheal/work/d7/f9f3470904ec101e1bde2b6a368787			512	C0003	cpu	D3Q19	0	32	12265497
75/10f4ad	7	1859413.pbs02	hemelb		hemelb (223)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615484032552	1615484041560	1615485530777	1498225	1490393		99.7	11.1	14944120832.0	39625543680.0	14948294656.0	39723196416.0	63915478.0	5744982.0	63124.0	1760.0	54066027.0	12996114.0	1479.0	34030.0	/scratch1/btsheal/work/75/10f4ad16e4b7f1451c32602e5989a4			512	C0003	p100	D3Q19	0	1	12265497
f4/b46f99	8	1859466.pbs02	hemelb		hemelb (224)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615484973834	1615485535780	1615486335859	1362025	796129		196.2	11.8	15900880896.0	56471597056.0	15908503552.0	56608182272.0	64383048.0	6703763.0	63785.0	1893.0	54117508.0	12860749.0	58872.0	48273.0	/scratch1/btsheal/work/f4/b46f99c27dd243f0defe8719fb4ece			512	C0003	p100	D3Q19	0	2	12265497
3b/bf9e9c	9	1859484.pbs02	hemelb		hemelb (225)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615485538790	1615487336029	1615487791037	2252247	450829		194.7	6.5	8693825536.0	43648618496.0	8701562880.0	43782836224.0	39020784.0	19671988.0	36121.0	2172.0	28222250.0	12909035.0	31053.0	26307.0	/scratch1/btsheal/work/3b/bf9e9c529c94dea2da659f34f9f948			512	C0003	p100	D3Q19	0	4	12265497
eb/7df22a	10	1859537.pbs02	hemelb		hemelb (226)	CACHED	0	[hemelb/D3Q19-p100]		1	86400000			1	1615486343840	1615491151518	1615491401536	5057696	249205		195.1	3.7	4979990528.0	36235505664.0	4988534784.0	36313370624.0	32894802.0	15517547.0	30370.0	2205.0	22092486.0	12981015.0	25635.0	16998.0	/scratch1/btsheal/work/eb/7df22a15946e09ebce86026cce5dd9			512	C0003	p100	D3Q19	0	8	12265497
