hash	%cpu	%mem	attempt	chunks	complete	container	cpus	dataset	disk	duration	error_action	exit	hardware_type	inv_ctxt	memory	module	name	native_id	node_type	peak_rss	peak_vmem	process	queue	rchar	read_bytes	realtime	rss	scratch	start	status	submit	syscr	syscw	tag	task_id	threads	time	vmem	vol_ctxt	wchar	workdir	write_bytes
02/964182	195.6	5.0	1	4	1635973009843	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.004		2529346		0	nvidia-tesla-v100	101799	8589934592		similarity_chunk (breast.001.004/0)	4685641630447407367	custom-v100	429973504	11853508608	similarity_chunk		23814024	102400	1223042	417574912		1635970489490	COMPLETED	1635970480497	2152	487	breast.001.004/0	9	2		11853455360	1008	3412275940	results-breast-001/work/02/964182f4f5e57ea1b745f2bff88846	3412508672
17/f172ca	196.6	4.8	1	4	1635980620081	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.004		2539046		0	nvidia-tesla-v100	97037	8589934592		similarity_chunk (breast.001.004/3)	14799617371009918189	custom-v100	405655552	11853410304	similarity_chunk		23814019	98304	1212142	402673664		1635978089743	COMPLETED	1635978081035	2150	485	breast.001.004/3	12	2		11853357056	750	3411567188	results-breast-001/work/17/f172ca4149981613f76abf89a4d085	3411808256
19/18a027	195.0	3.6	1	4	1635984310271	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.001		1519205		0	nvidia-tesla-v100	24356	8589934592		similarity_chunk (breast.001.001/2)	2974604486909386764	custom-v100	304578560	11450675200	similarity_chunk		6301422	0	273901	304578560		1635982799914	COMPLETED	1635982791066	1090	474	breast.001.001/2	15	2		11383513088	824	844747276	results-breast-001/work/19/18a02743927a98cdc85d530f4588a1	844836864
2a/2d22cb	194.3	3.4	1	4	1635982790173	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.001		629059		0	nvidia-tesla-v100	26601	8589934592		similarity_chunk (breast.001.001/1)	9349859650726981733	custom-v100	288600064	11517751296	similarity_chunk		6301398	0	274233	288600064		1635982169902	COMPLETED	1635982161114	1085	481	breast.001.001/1	14	2		11383480320	783	845802196	results-breast-001/work/2a/2d22cb0303d7394ca0aa7d9fc7f2d6	845873152
34/325aa6	196.3	4.6	1	4	1635970479644	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.003		2119062		0	nvidia-tesla-v100	74009	8589934592		similarity_chunk (breast.001.003/3)	7247359573487624753	custom-v100	386207744	11786252288	similarity_chunk		17971028	98304	834247	385912832		1635968369449	COMPLETED	1635968360582	1795	481	breast.001.003/3	8	2		11685539840	744	2504664645	results-breast-001/work/34/325aa62f3d79a88c51e7e432ea8b31	2504830976
39/5b69d6	193.7	3.5	1	4	1635982160234	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.001		1539306		0	nvidia-tesla-v100	25322	8589934592		similarity_chunk (breast.001.001/0)	11966573363537065012	custom-v100	296079360	11450568704	similarity_chunk		6301343	0	278829	296079360		1635980629838	COMPLETED	1635980620928	1079	490	breast.001.001/0	13	2		11383406592	810	848518416	results-breast-001/work/39/5b69d67460df33db924c9e0343b6b4	848596992
45/8c8315	195.0	3.5	1	4	1635985840317	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.001		1529180		0	nvidia-tesla-v100	25153	8589934592		similarity_chunk (breast.001.001/3)	8759776836783028927	custom-v100	296570880	11517751296	similarity_chunk		6301404	0	267418	296570880		1635984319963	COMPLETED	1635984311137	1087	477	breast.001.001/3	16	2		11383480320	753	830340529	results-breast-001/work/45/8c8315eac04817c92b025137878772	830435328
4f/04d915	197.1	4.6	1	4	1635964969635	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.003		2149300		0	nvidia-tesla-v100	72650	8589934592		similarity_chunk (breast.001.003/1)	15615689346178622286	custom-v100	386043904	11719196672	similarity_chunk		17971069	98304	858164	385572864		1635962829168	COMPLETED	1635962820335	1800	476	breast.001.003/1	6	2		11685593088	907	2513286968	results-breast-001/work/4f/04d9158a9614d4d8e663ee91c8f337	2513469440
6b/9dd03d	194.4	4.2	1	4	1635957059218	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.002		974917		0	nvidia-tesla-v100	51832	8589934592		similarity_chunk (breast.001.002/0)	1106124528635007609	custom-v100	351133696	11618447360	similarity_chunk		12128039	98304	585698	350031872		1635956088996	COMPLETED	1635956084301	1444	482	breast.001.002/0	1	2		11584843776	869	1685943785	results-breast-001/work/6b/9dd03de5d7027ed2e57a7d37e5ee68	1686073344
b4/87541a	196.0	4.4	1	4	1635967129650	systemsgenetics/kinc:3.4.2-gpu	2	breast.001.003		2159149		0	nvidia-tesla-v100	70318	8589934592		similarity_chunk (breast.001.003/0)	5301009420960537348	custom-v100	370331648	11719200768	similarity_chunk		17970988	98304	880538	368979968		1635964979240	COMPLETED	1635964970501	1790	487	breast.001.003/0	5	2		11685597184	748	2531165279	results-breast-001/work/b4/87541a9425784babdc457da0b521ba	2531385344
