hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	n_cols	n_rows	node_type
09/075f6d	1	3698712.pbs02	import_emx	breast.003.003	import_emx (breast.003.003)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633013099895	1633013104685	1633013132978	33083	20000		78.7	0.4	117821440.0	1087819776.0	117821440.0	1087873024.0	537862338.0	187019869.0	49063.0	47793.0	169526557.0	52622369.0	1732.0	58.0	/scratch1/btsheal/work/09/075f6d29d4cc9af3622ae51780f4b4			breast.003.003	885	14804	1a
0a/0e34f6	27	3698725.pbs02	import_emx	breast.003.001	import_emx (breast.003.001)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633013146179	1633013153986	1633013164051	17872	7668		79.8	0.3	92278784.0	1061793792.0	92278784.0	1061847040.0	179714554.0	62518696.0	16633.0	25929.0	79996189.0	17666864.0	2753.0	59.0	/scratch1/btsheal/work/0a/0e34f6365cebe8a75c87c72bb7f12e			breast.003.001	295	14804	1a
0f/5c9951	2	3698714.pbs02	import_emx	breast.002.001	import_emx (breast.002.001)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633013104393	1633013112983	1633013122985	18592	6529		67.3	0.3	80363520.0	1049587712.0	80363520.0	1049640960.0	120085650.0	41726499.0	11920.0	17353.0	65090845.0	11781972.0	3877.0	46.0	/scratch1/btsheal/work/0f/5c9951eb9ab5d890548c9b34345749			breast.002.001	295	9870	1a
19/889e35	11	3698724.pbs02	import_emx	breast.004.001	import_emx (breast.004.001)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633013141784	1633013148957	1633013159046	17262	9648		79.1	0.3	105263104.0	1074683904.0	105263104.0	1074737152.0	239456524.0	83340452.0	21942.0	34514.0	94930205.0	23553162.0	2595.0	51.0	/scratch1/btsheal/work/19/889e35be79ea8254c9bf3096041a9e			breast.004.001	295	19739	1a
21/b29f7b	5	3614346.pbs02	import_emx	breast.001.004	import_emx (breast.001.004)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	43200000			1	1632336463203	1632336479779	1632336499920	36717	9868		74.3	0.3	104812544.0	1074151424.0	104812544.0	1074204672.0	239115560.0	83127673.0	22330.0	19685.0	94835997.0	23412689.0	1891.0	62.0	/scratch1/btsheal/work/21/b29f7b9a215305d26b3434d5aa02b6			breast.001.004	1181	4935	1a
52/6bbc71	16	3698722.pbs02	import_emx	breast.003.004	import_emx (breast.003.004)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633013132781	1633013143759	1633013168978	36197	23450		88.5	0.6	192802816.0	1161740288.0	192802816.0	1228902400.0	718112586.0	249623810.0	65519.0	58797.0	214582557.0	70159374.0	10855.0	52.0	/scratch1/btsheal/work/52/6bbc712205db01f1f2a9081f6e037a			breast.003.004	1181	14804	1a
78/792a77	14	3698719.pbs02	import_emx	breast.002.002	import_emx (breast.002.002)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633013123389	1633013138292	1633013143787	20398	9607		78.8	0.3	104108032.0	1074089984.0	104108032.0	1074143232.0	238876579.0	83084405.0	21957.0	24605.0	94782749.0	23437720.0	2377.0	82.0	/scratch1/btsheal/work/78/792a771b877843f8204f483aa26dab			breast.002.002	590	9870	1a
7e/351ac8	2	3614345.pbs02	import_emx	breast.001.003	import_emx (breast.001.003)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	43200000			1	1632336458332	1632336479758	1632336489583	31251	7350		77.9	0.3	83427328.0	1052590080.0	83427328.0	1119752192.0	178705759.0	62168668.0	15814.0	15995.0	79738141.0	17560532.0	1877.0	77.0	/scratch1/btsheal/work/7e/351ac8e91f808f7be59578f2a2c7a0			breast.001.003	885	4935	1a
7f/90e74e	7	3698716.pbs02	import_emx	breast.003.002	import_emx (breast.003.002)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633013114241	1633013123270	1633013138227	23986	12636		83.4	0.4	125005824.0	1094598656.0	125005824.0	1161760768.0	358418345.0	124676797.0	33278.0	36839.0	124671261.0	35144711.0	1818.0	114.0	/scratch1/btsheal/work/7f/90e74e72736e6360c4b206dcee25fb			breast.003.002	590	14804	1a
82/410086	1	3614343.pbs02	import_emx	breast.001.002	import_emx (breast.001.002)	CACHED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	43200000			1	1632336453335	1632336474589	1632336479586	26251	6518		63.5	0.3	79405056.0	1048539136.0	79405056.0	1048592384.0	119499658.0	41530357.0	11759.0	12381.0	64943389.0	11728108.0	4446.0	44.0	/scratch1/btsheal/work/82/410086ad61df49e794e95545c002cb			breast.001.002	590	4935	1a
