hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	chunks	dataset	hardware_type	node_type	threads
00/4c76b5	39	3682797.pbs02	similarity_chunk	breast.001.001/2	similarity_chunk (breast.001.001/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922182660	1632922280223	1632922360528	177868	72174		191.3	0.1	366006272.0	11403317248.0	366006272.0	11537588224.0	7852436.0	215901679.0	1888.0	352.0	38877054.0	215895864.0	1800.0	2363.0	/scratch1/btsheal/work/00/4c76b577cdb46e9c87a31eb083d877			16	breast.001.001	v100	18b	2
00/526779	13	3679923.pbs02	similarity_chunk	breast.001.001/0	similarity_chunk (breast.001.001/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632898298892	1632898309423	1632898589495	290603	276477		194.5	0.1	360439808.0	11403292672.0	360439808.0	11470454784.0	7852747.0	848535924.0	1949.0	640.0	38881144.0	848528668.0	3652.0	8928.0	/scratch1/btsheal/work/00/52677949a45b43198cd44f11031f32			4	breast.001.001	v100	18b	2
00/59aac1	34	3651810.pbs02	similarity_chunk	breast.001.001/5	similarity_chunk (breast.001.001/5)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632722411652	1632722419518	1632742110418	19698766	19684096		99.8	0.1	139767808.0	1192423424.0	143953920.0	1193824256.0	7311726.0	429587440.0	1255.0	431.0	38007674.0	429575455.0	26362.0	8515.0	/scratch1/btsheal/work/00/59aac193360f28df350a7acd9ba0e3			8	breast.001.001	cpu	10	2
00/6df7bf	76	3723982.pbs02	similarity_chunk	breast.003.004/7	similarity_chunk (breast.003.004/7)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633266945570	1633290508036	1633306344657	39399087	15828108		199.1	0.3	503775232.0	16301903872.0	504193024.0	16369065984.0	71743735.0	15345162940.0	5773.0	1693.0	103121555.0	15345148545.0	38301.0	608230.0	/scratch1/btsheal/work/00/6df7bfea3c4dc4c9f589640dce47ec			8	breast.003.004	p100	17	2
00/99b195	140	3787208.pbs02	similarity_chunk	breast.003.001/7	similarity_chunk (breast.003.001/7)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633913731406	1633915149214	1633915950300	2218894	794049		195.5	0.1	400596992.0	11438022656.0	400596992.0	11572293632.0	19629119.0	2574218485.0	2849.0	1210.0	50655939.0	2574209428.0	6972.0	23939.0	/scratch1/btsheal/work/00/99b195f4cd010a4ad27637eb2aa8d7			12	breast.003.001	v100	18b	2
00/f796b4	19	3752193.pbs02	similarity_chunk	breast.002.001/6	similarity_chunk (breast.002.001/6)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633439379081	1633439436846	1633440274281	895200	825590		197.2	0.2	370909184.0	15665414144.0	370909184.0	15796465664.0	13353347.0	846365249.0	1887.0	699.0	44729743.0	846354087.0	29138.0	25079.0	/scratch1/btsheal/work/00/f796b47720e47e73fb0fab93ce9009			16	breast.002.001	p100	16	2
01/296084	87	3777366.pbs02	similarity_chunk	breast.004.001/2	similarity_chunk (breast.004.001/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633789657802	1633795130649	1633797208273	7550471	2079083		197.5	0.1	410988544.0	11438718976.0	410988544.0	11572989952.0	25516302.0	6788972081.0	3671.0	2608.0	56535251.0	6788959040.0	22369.0	62400.0	/scratch1/btsheal/work/01/296084f3f2dfad2c8a300ef995f4e0			8	breast.004.001	v100	18b	2
01/3a9289	93	3725593.pbs02	similarity_chunk	breast.003.001/0	similarity_chunk (breast.003.001/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633274400250	1633290498095	1633294009552	19609302	3502427		198.5	0.3	389709824.0	15682785280.0	389709824.0	15797059584.0	19251414.0	3747152437.0	2566.0	1695.0	50625213.0	3747138405.0	17341.0	122598.0	/scratch1/btsheal/work/01/3a92895de0926cc934febd75ab9862			8	breast.003.001	p100	16	2
01/415b37	57	3822023.pbs02	similarity_chunk	breast.004.002/0	similarity_chunk (breast.004.002/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634158228931	1634159601393	1634168690896	10461965	9073616		196.4	0.1	496009216.0	11707207680.0	496201728.0	11740811264.0	48826097.0	26908616296.0	5791.0	4894.0	79828205.0	26908596848.0	56894.0	351881.0	/scratch1/btsheal/work/01/415b37597b6dddf6b03bc9f75d6087			4	breast.004.002	v100	18b	2
01/c32d59	73	3786478.pbs02	similarity_chunk	breast.002.002/0	similarity_chunk (breast.002.002/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633907745623	1633909102142	1633909838181	2092558	763875		196.4	0.1	433827840.0	11638796288.0	433917952.0	11672399872.0	25391840.0	2241104728.0	3057.0	731.0	56419815.0	2241096958.0	6524.0	28834.0	/scratch1/btsheal/work/01/c32d598f3a4bff1714c544de62f2af			12	breast.002.002	v100	18b	2
