hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	abd_bytes	chunks	dataset	node_type
00/37156e	69	3683062.pbs02	similarity_merge	breast.001.003	similarity_merge (breast.001.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632922768141	1632922782021	1632924097233	1329092	1313899		83.4	0.6	179662848.0	1148968960.0	207220736.0	1176547328.0	10121178567.0	6481426844.0	1298.0	27875786.0	10155965616.0	6481430480.0	942592.0	3599.0	/scratch1/btsheal/work/00/37156edeaf1fb42358544860bbcd1c			1.01207e+10	16	breast.001.003	1a
0b/808031	72	3822957.pbs02	similarity_merge	breast.003.004	similarity_merge (breast.003.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634168887127	1634168897224	1634186169591	17282464	17256547		70.7	0.7	235208704.0	1202573312.0	235384832.0	1202786304.0	122707006260.0	79152241924.0	7251.0	258242828.0	122741793420.0	79152237838.0	11134878.0	16667.0	/scratch1/btsheal/work/0b/8080315de53a636f86be964ed44cef			1.22706e+11	4	breast.003.004	1a
0c/de8c0d	208	3757126.pbs02	similarity_merge	breast.002.002	similarity_merge (breast.002.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633469833991	1633469849529	1633473102547	3268556	3240431		83.3	0.5	158117888.0	1127665664.0	158134272.0	1127735296.0	26826074000.0	17087236796.0	3531.0	107802508.0	26860861029.0	17087232886.0	2500262.0	3974.0	/scratch1/btsheal/work/0c/de8c0d88e53aefc467a85450862123			2.68256e+10	16	breast.002.002	1a
10/429877	124	3730412.pbs02	similarity_merge	breast.004.002	similarity_merge (breast.004.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633304463079	1633304472248	1633317524688	13061609	13027003		82.2	0.5	143228928.0	1112707072.0	162287616.0	1199136768.0	107606306097.0	68293194269.0	12455.0	430865342.0	107641093211.0	68293190151.0	10752016.0	30278.0	/scratch1/btsheal/work/10/429877b7892d5811884f9db5259c3d			1.07606e+11	8	breast.004.002	1a
10/93b1ea	220	3757429.pbs02	similarity_merge	breast.004.004	similarity_merge (breast.004.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633477253546	1633477272817	1633503921361	26667815	26646667		84.8	0.7	222486528.0	1191391232.0	222486528.0	1191444480.0	218473362510.0	141096564884.0	12456.0	460344213.0	218508145421.0	141096560608.0	20754398.0	30337.0	/scratch1/btsheal/work/10/93b1eabe0b9619b679e75e0420dd4f			2.18473e+11	16	breast.004.004	1a
13/387030	206	3757100.pbs02	similarity_merge	breast.004.001	similarity_merge (breast.004.001)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633469033433	1633469048079	1633476011940	6978507	6963794		84.7	0.4	107237376.0	1076531200.0	117092352.0	1086525440.0	53820390155.0	33902838574.0	12447.0	398844876.0	53855177188.0	33902834475.0	5472844.0	14625.0	/scratch1/btsheal/work/13/387030e976fd4e9b492d80cd4e0762			5.38198e+10	16	breast.004.001	1a
13/c3c52d	207	3814437.pbs02	similarity_merge	breast.002.004	similarity_merge (breast.002.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634041424097	1634041438822	1634048852833	7428736	7404179		73.3	0.7	220581888.0	1189867520.0	220610560.0	1189974016.0	54676387120.0	35299374250.0	3533.0	115167388.0	54711174218.0	35299370142.0	4909651.0	7697.0	/scratch1/btsheal/work/13/c3c52da96bbe46dc1c605bbaf7a8f7			5.46759e+10	16	breast.002.004	1a
15/2be3ad	116	3729563.pbs02	similarity_merge	breast.002.003	similarity_merge (breast.002.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633295781711	1633295796191	1633300702928	4921217	4898025		81.3	0.6	181583872.0	1151238144.0	204349440.0	1241210880.0	40622187382.0	25979606985.0	3501.0	111737861.0	40656974702.0	25979603070.0	3763837.0	5355.0	/scratch1/btsheal/work/15/2be3ad3b99e2295e4a3f3d3fd652af			4.06217e+10	8	breast.002.003	1a
15/a9974a	122	3778121.pbs02	similarity_merge	breast.003.004	similarity_merge (breast.003.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633802571414	1633804499389	1633814759122	12187708	10245900		94.0	0.4	213864448.0	1182928896.0	213864448.0	1182982144.0	122707013081.0	79152241943.0	7224.0	258242827.0	122741877388.0	79152237838.0	5483778.0	17392.0	/scratch1/btsheal/work/15/a9974a7dcbf83c4aaeb399fe59113d			1.22706e+11	8	breast.003.004	5d
18/8d7d50	171	3771049.pbs02	similarity_merge	breast.004.002	similarity_merge (breast.004.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633656975568	1633656989914	1633673153232	16177664	16138388		69.0	0.5	151773184.0	1121124352.0	160710656.0	1130172416.0	107606306145.0	68293194336.0	12455.0	430865342.0	107641093217.0	68293190151.0	10023831.0	16686.0	/scratch1/btsheal/work/18/8d7d508caf289fc3c2377f4dedf4ae			1.07606e+11	12	breast.004.002	1a
1b/0f8d22	37	3674808.pbs02	similarity_merge	breast.001.003	similarity_merge (breast.001.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632834661961	1632834675646	1632835939536	1277575	1252478		83.2	0.6	203112448.0	1171996672.0	203112448.0	1172049920.0	10121178490.0	6481426745.0	1297.0	27875785.0	10155965610.0	6481430480.0	984562.0	1835.0	/scratch1/btsheal/work/1b/0f8d22da273acbd2e9bb2386446d3e			1.01207e+10	8	breast.001.003	1a
1f/7299fb	73	3822970.pbs02	similarity_merge	breast.004.002	similarity_merge (breast.004.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634169438119	1634169450141	1634184890103	15451984	15427167		70.8	0.5	144838656.0	1114386432.0	156336128.0	1126084608.0	107606305786.0	68293194232.0	12424.0	430865342.0	107641089115.0	68293190151.0	9892832.0	37576.0	/scratch1/btsheal/work/1f/7299fb7789446b334ed132fee8efac			1.07606e+11	4	breast.004.002	1a
1f/a6e2cb	39	3686416.pbs02	similarity_merge	breast.001.002	similarity_merge (breast.001.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632933681510	1632933691518	1632934545617	864107	846893		81.9	0.5	143454208.0	1112350720.0	143507456.0	1179512832.0	6767356772.0	4278591940.0	1298.0	26992445.0	6802143889.0	4278588252.0	645646.0	1566.0	/scratch1/btsheal/work/1f/a6e2cbecf5b9631dd5de6603ecc8d7			6.76693e+09	8	breast.001.002	1a
20/b762d1	110	3729034.pbs02	similarity_merge	breast.002.004	similarity_merge (breast.002.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633292761138	1633292771438	1633299249361	6488223	6469704		84.3	0.7	214691840.0	1184174080.0	214810624.0	1184256000.0	54676386883.0	35299374148.0	3502.0	115167388.0	54711174212.0	35299370142.0	5619218.0	22743.0	/scratch1/btsheal/work/20/b762d1670ada537f15663ce2e5bdcd			5.46759e+10	8	breast.002.004	1a
25/26c441	62	3822091.pbs02	similarity_merge	breast.002.002	similarity_merge (breast.002.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634160476405	1634160486328	1634164309250	3832845	3813046		70.9	0.5	143810560.0	1113120768.0	151408640.0	1120894976.0	26826073794.0	17087237394.0	3531.0	107802511.0	26860865119.0	17087241078.0	2570190.0	4124.0	/scratch1/btsheal/work/25/26c4412c3b61428df16daf7f0bf5ed			2.68256e+10	4	breast.002.002	1a
