node_type	cpu_flops	cpu_iops	cpu_mem_bw	disk_read	disk_write	gpu_flops	gpu_mem_bw
10	0.447761	0.3873533333333334	7.21074	2.3543016666666667	1.1099556666666668	0.0	0.0
11a	0.448797	0.388806	7.215610666666667	2.317713	1.0930293333333332	0.0	0.0
11b	0.4486736666666666	0.388845	7.213651333333334	2.3921456666666665	1.005238	0.0	0.0
12	0.501881	0.4478916666666666	6.922777666666666	2.4307673333333333	1.0240573333333334	0.0	0.0
13	0.5026683333333334	0.4477836666666666	7.010349333333333	2.9801246666666668	1.0994970000000002	0.0	0.0
14	0.5000306666666666	0.4451866666666667	6.721398	2.3182050000000003	1.064599	0.0	0.0
15	0.5002346666666667	0.4473453333333333	7.002255000000001	1.5494533333333331	1.042076	0.0	0.0
16	0.457861	0.4064509999999999	6.180619	2.6959576666666667	1.02078	1074.629921	405.091741
17	0.5229463333333334	0.4618166666666667	6.970997666666666	2.364276	1.0830423333333334	1078.631077666667	412.19901333333337
18b	0.4344486666666666	0.425801	6.904872666666667	1.7589036666666666	1.098656	1550.741345	821.7405076666668
18c	0.4369663333333333	0.4291433333333334	6.895925000000001	2.296147	1.147118	1544.9175053333336	830.871552
19a	0.4418723333333333	0.4333443333333333	6.939988333333333	2.548453333333333	1.1131293333333334	1522.429527	812.0176879999999
1a	0.2086833333333333	0.2148696666666666	3.639293333333333	0.0859753333333333	0.1130696666666666	0.0	0.0
1b	0.251407	0.256902	4.405907	0.0777539999999999	0.1140203333333333	0.0	0.0
21	0.523794	0.5121596666666667	8.085322	2.7076543333333336	1.0260656666666663	1532.397155333333	811.04979
2a	0.2349163333333333	0.2188249999999999	3.894975	0.9416563333333332	0.642241	0.0	0.0
2b	0.2043756666666666	0.2029103333333333	2.8927226666666663	0.0445406666666666	0.1151866666666666	0.0	0.0
3	0.1264423333333333	0.1236	1.764837	0.084121	0.1123326666666666	0.0	0.0
4	0.2040653333333333	0.2030436666666666	2.7159636666666667	0.0716796666666666	0.11231	0.0	0.0
5a	0.2182863333333333	0.21638	2.3369326666666663	0.0342313333333333	0.0798443333333333	0.0	0.0
5b	0.2021826666666666	0.2027193333333333	1.9593083333333328	0.035049	0.0888923333333333	0.0	0.0
5c	0.2521713333333333	0.2584516666666667	4.474921666666667	0.0178329999999999	0.4834386666666666	0.0	0.0
5d	0.286068	0.251973	4.815431	1.095925	0.641175	0.0	0.0
6	0.1277433333333333	0.1299793333333333	1.769334	0.034894	0.1168073333333333	0.0	0.0
7a	0.3537526666666666	0.3103966666666666	5.779720333333334	2.722849	1.0141043333333333	0.0	0.0
7b	0.3538179999999999	0.3104976666666666	5.7148010000000005	2.722910333333333	1.048276	0.0	0.0
8a	0.353411	0.309532	5.896273666666667	2.857902333333333	1.0227153333333334	0.0	0.0
8b	0.3536253333333333	0.3103293333333333	5.758871333333334	2.869401666666666	1.0669036666666667	0.0	0.0
9	0.353362	0.3096443333333333	5.656847	1.8498356666666669	1.078187	0.0	0.0
