hash	%cpu	%mem	attempt	chunks	complete	container	cpus	dataset	disk	duration	error_action	exit	hardware_type	inv_ctxt	memory	module	name	native_id	node_type	peak_rss	peak_vmem	process	queue	rchar	read_bytes	realtime	rss	scratch	start	status	submit	syscr	syscw	tag	task_id	threads	time	vmem	vol_ctxt	wchar	workdir	write_bytes
01/7f00bc	198.8	5.0	1	4	1634987470309	systemsgenetics/kinc:3.4.2-gpu	2	colon		11519674		0	nvidia-tesla-v100	657527	8589934592		similarity_chunk (colon/1)	18410427273633472610	custom-v100	430682112	11788013568	similarity_chunk		51476418	172032	9947707	421294080		1634975959621	COMPLETED	1634975950635	5073	4469	colon/1	14	2		11687301120	717	30364402514	results-bbcc/work/01/7f00bce8a39373fa238ea2561c16e4	30366482432
02/d8264b	198.3	4.1	1	4	1634933688404	systemsgenetics/kinc:3.4.2-gpu	2	bladder		6629370		0	nvidia-tesla-v100	355276	8589934592		similarity_chunk (bladder/2)	6467291135196049072	custom-v100	356237312	11458072576	similarity_chunk		30976350	110592	5190130	347979776		1634927067827	COMPLETED	1634927059034	3832	4666	bladder/2	3	2		11458019328	745	17474394100	results-bbcc/work/02/d8264b50bb1b08e83ec4418a535abe	17475571712
07/e63287	198.8	4.8	1	4	1634999070746	systemsgenetics/kinc:3.4.2-gpu	2	colon		11599630		0	nvidia-tesla-v100	671334	8589934592		similarity_chunk (colon/2)	3632094407421207947	custom-v100	410271744	11787964416	similarity_chunk		51476338	106496	10015811	400084992		1634987480040	COMPLETED	1634987471116	5064	4488	colon/2	15	2		11687251968	733	30396120962	results-bbcc/work/07/e63287c6cd0f0b7d9691c2b83b1713	30398128128
0c/c334da	192.7	3.0	1	4	1634945198663	systemsgenetics/kinc:3.4.2-gpu	2	bile-duct		579181		0	nvidia-tesla-v100	15185	8589934592		similarity_chunk (bile-duct/2)	17581161334001757271	custom-v100	252162048	11418775552	similarity_chunk		3657831	110592	225056	251957248		1634944628429	COMPLETED	1634944619482	1981	4481	bile-duct/2	7	2		11284504576	742	1980518814	results-bbcc/work/0c/c334da4c4e6a6483e49a51a48dbdba	1980575744
1d/b2ab53	198.8	5.0	1	4	1634975949930	systemsgenetics/kinc:3.4.2-gpu	2	colon		10889528		0	nvidia-tesla-v100	696867	8589934592		similarity_chunk (colon/0)	5581870189354941936	custom-v100	431693824	11720896512	similarity_chunk		51476476	102400	10189818	419192832		1634965069235	COMPLETED	1634965060402	5081	4460	colon/0	13	2		11687292928	797	30339865171	results-bbcc/work/1d/b2ab535c67bf9e04a8ea0b2299feac	30341971968
1e/0cf389	198.4	3.5	1	4	1634956389151	systemsgenetics/kinc:3.4.2-gpu	2	cervix		4839368		0	nvidia-tesla-v100	239680	8589934592		similarity_chunk (cervix/0)	1869112958461709754	custom-v100	301703168	11486089216	similarity_chunk		21681087	102400	3460788	294404096		1634951558702	COMPLETED	1634951549783	3280	4583	cervix/0	9	2		11418927104	740	12161819249	results-bbcc/work/1e/0cf389dce74310f77b61d63f5aed45	12162605056
33/2e504d	192.9	3.0	1	4	1634946688761	systemsgenetics/kinc:3.4.2-gpu	2	bile-duct		1489297		0	nvidia-tesla-v100	16014	8589934592		similarity_chunk (bile-duct/3)	12022309152716004900	custom-v100	252686336	11418775552	similarity_chunk		3658006	102400	220744	252686336		1634945208453	COMPLETED	1634945199464	2004	4465	bile-duct/3	8	2		11284504576	716	1963514675	results-bbcc/work/33/2e504dc670865499c62b5b4cd95dd9	1963573248
4b/6e1c67	192.7	3.0	1	4	1634944618691	systemsgenetics/kinc:3.4.2-gpu	2	bile-duct		1499128		0	nvidia-tesla-v100	15809	8589934592		similarity_chunk (bile-duct/1)	17385415916119294272	custom-v100	252882944	11418845184	similarity_chunk		3657810	110592	225727	252882944		1634943128391	COMPLETED	1634943119563	1977	4493	bile-duct/1	6	2		11284574208	725	1973545766	results-bbcc/work/4b/6e1c671f14833d6f0db3a785c5da82	1973612544
52/58dda4	198.4	4.2	1	4	1634940408605	systemsgenetics/kinc:3.4.2-gpu	2	bladder		6719370		0	nvidia-tesla-v100	355949	8589934592		similarity_chunk (bladder/3)	4225637185182902492	custom-v100	363438080	11525193728	similarity_chunk		30976225	110592	5274306	356675584		1634933697946	COMPLETED	1634933689235	3817	4687	bladder/3	4	2		11458031616	722	17706978268	results-bbcc/work/52/58dda40e97d6a307afc44ed025b80c	17708167168
64/d9bd81	198.7	4.3	1	4	1634927058146	systemsgenetics/kinc:3.4.2-gpu	2	bladder		6839281		0	nvidia-tesla-v100	367702	8589934592		similarity_chunk (bladder/0)	14525854970744391082	custom-v100	358842368	11525181440	similarity_chunk		30976700	102400	5388079	356491264		1634920227592	COMPLETED	1634920218865	3875	4624	bladder/0	2	2		11458019328	718	17635070596	results-bbcc/work/64/d9bd8120464afed388e7462ef61758	17636278272
