hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	abd_bytes	chunks	dataset
86/dcc53d	20	6.412647474302757e+17	similarity_merge	colon	similarity_merge (colon)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635026962492	1635026971399	1635041632272	14669780	13058886		93.9	1.7	147984384	1164558336	176476160	1184636928	121382325480	83340850052	11639	469520273	121429315584	83421126656	289448	36921	results-bbcc/work/86/dcc53d431a87751ee3955b6dfccdac			121382000000.0	4	colon
89/ec64e2	19	6.112252585074373e+18	similarity_merge	cervix	similarity_merge (cervix)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635020782188	1635020791196	1635026961677	6179489	5458634		93.5	1.1	100155392	1111441408	103096320	1111494656	48694270334	29255840830	11890	370314452	48736256000	29262573568	120135	15303	results-bbcc/work/89/ec64e20c594425532d0b7c2f05c450			48693700000.0	4	cervix
b7/cf79ef	17	6.49552872079668e+18	similarity_merge	bladder	similarity_merge (bladder)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635010692016	1635010700847	1635019211463	8519447	7600973		92.2	1.3	111415296	1126780928	124096512	1132462080	70525248532	42431055307	12024	391060320	70570856448	42451951616	163593	22080	results-bbcc/work/b7/cf79efc85ee55782c23e83511e304d			70524700000.0	4	bladder
df/cf16cb	18	8.759458053608664e+18	similarity_merge	bile-duct	similarity_merge (bile-duct)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635019212303	1635019221130	1635020781404	1569101	1301062		94.2	0.8	70938624	1079975936	72183808	1085095936	7901139536	5159586258	11233	245648965	6367154176	5160316928	18013	4776	results-bbcc/work/df/cf16cb34bf586f864282cc14843ef9			7900610000.0	4	bile-duct
a4/748625	5	1.159838587569748e+19	similarity_merge	breast	similarity_merge (breast)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635857134578	1635857141835	1635882813231	25678653	22569721		93.3	2.7	232562688	1249280000	240820224	1249513472	218470763505	141417686555	12402	461391922	218514186240	141429993472	506599	72907	results-breast/work/a4/7486251cc5a2d96fe177d6c5732a1f			218470000000.0	4	breast
45/7c1b6b	5	1.750945006673977e+19	similarity_merge	esophagus	similarity_merge (esophagus)	CACHED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1634883069791	1634883077107	1634903178101	20108310	17835675		93.6	2.4	203816960	1211936768	204316672	1212297216	162865133160	121609741166	12269	541686890	162913079296	121733926912	415299	50528	results-esophagus/work/45/7c1b6bc6dd9746d9f371c4430b965e		TERMINATE	162865000000.0	4	esophagus
18/4973e2	17	2.4089202287425106e+18	similarity_merge	liver	similarity_merge (liver)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635267711280	1635267720001	1635277450668	9739388	8692623		92.3	1.5	132419584	1149165568	143454208	1151901696	80573531545	51063747066	11256	406874667	80619765760	51096363008	190833	30996	results-hkll/work/18/4973e2c190c28dfdfc042cbc5795e0			80573000000.0	4	liver
23/17daa6	20	3.3918655070027843e+18	similarity_merge	kidney	similarity_merge (kidney)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635319852938	1635319861825	1635339302893	19449955	17090333		92.2	2.1	182071296	1198632960	190373888	1265795072	168320268367	111846214644	11779	459323164	168368549888	111971295232	419793	53373	results-hkll/work/23/17daa69e13566d4709be3b07f3bcdc			168320000000.0	4	kidney
95/c9f2f6	18	3.105986336784922e+18	similarity_merge	head-neck	similarity_merge (head-neck)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635277451540	1635277460326	1635288221089	10769549	9628577		93.3	1.5	133636096	1150046208	150151168	1158443008	91149894676	55820519260	11680	408934207	91196301312	55862779904	213882	28159	results-hkll/work/95/c9f2f6af989a740b19b41fe38d7167			91149300000.0	4	head-neck
fc/585ade	19	7.708268955961321e+18	similarity_merge	lung	similarity_merge (lung)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635288222005	1635288230741	1635319852125	31630120	27704478		92.3	2.9	244060160	1261961216	253870080	1262014464	268573132813	173693430190	12295	475869496	268622917632	173869592576	641108	71129	results-hkll/work/fc/585ade898bfb7d4ecb1468bf8a1b27			268573000000.0	4	lung
