task_id	status	hash	name	exit	submit	start	process	tag	module	container	attempt	script	scratch	workdir	queue	cpus	memory	disk	time	env	error_action	complete	duration	realtime	%cpu	rchar	wchar	syscr	syscw	read_bytes	write_bytes	%mem	vmem	rss	peak_vmem	peak_rss	vol_ctxt	inv_ctxt	native_id	dataset	hardware_type	chunks	threads	hostname	node_type
46	FAILED	e5/0639ec	similarity_chunk (esophagus/1)	2147483647	1633464183746	1633465744000	similarity_chunk	esophagus/1	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=esophagus""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 1 4 similarity             --input esophagus.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/e5/0639ecf0c8631a1a9e1605e0df50f6		1	17179869184				IGNORE	1633465745000.0	1561254.0	1000.0															nf-e50639ecf0c8631a1a9e1605e0df50f6						
18	COMPLETED	c0/a7943f	similarity_chunk (salivary/1)	0	1633464155583	1633464261000	similarity_chunk	salivary/1	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=salivary""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 1 4 similarity             --input salivary.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/c0/a7943f4783ac00b491da2e47978481		1	17179869184					1633466351000.0	2195417.0	2089274.0	98.5	4950330.0	2800631018.0	2437.0	4384.0	5410816.0	2801053696.0	0.3	15807209472.0	259686400.0	15874367488.0	271544320.0	853.0	30743.0	nf-c0a7943f4783ac00b491da2e47978481	salivary	gpu	4.0	1.0	suncave-13	1080
33	COMPLETED	6e/a62e6c	similarity_chunk (bile-duct/0)	0	1633464169994	1633468605000	similarity_chunk	bile-duct/0	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=bile-duct""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 0 4 similarity             --input bile-duct.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/6e/a62e6c4256569c431030fce652775d		1	17179869184					1633469137000.0	4967006.0	531398.0	96.6	3754609.0	1985594482.0	2319.0	4233.0	0.0	1985691648.0	0.2	11575713792.0	260976640.0	11642871808.0	260976640.0	370.0	9671.0	nf-6ea62e6c4256569c431030fce652775d	bile-duct	gpu	4.0	1.0	suncave-1	2080Ti
22	COMPLETED	ce/6bf91d	similarity_chunk (rectum/1)	0	1633464159827	1633464249000	similarity_chunk	rectum/1	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=rectum""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 1 4 similarity             --input rectum.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/ce/6bf91d037d879e460ea049cec8847a		1	17179869184					1633469260000.0	5100173.0	5009719.0	99.9	8195016.0	4533782624.0	2628.0	4373.0	405504.0	4534984704.0	0.1	16556695552.0	273133568.0	16690966528.0	273133568.0	996.0	133574.0	nf-ce6bf91d037d879e460ea049cec8847a	rectum	gpu	4.0	1.0	k8s-gpu-01.calit2.optiputer.net	1080
34	COMPLETED	98/674af2	similarity_chunk (bile-duct/1)	0	1633464169534	1633470525000	similarity_chunk	bile-duct/1	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=bile-duct""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 1 4 similarity             --input bile-duct.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/98/674af26ca34de69a256d1dbbdeccdc		1	17179869184					1633471506000.0	7336466.0	979335.0	98.6	3828067.0	1973515592.0	2364.0	4230.0	30650368.0	1973669888.0	0.1	17417076736.0	284581888.0	17551347712.0	284581888.0	820.0	17942.0	nf-98674af26ca34de69a256d1dbbdeccdc	bile-duct	gpu	4.0	1.0	k8s-chase-ci-01.noc.ucsb.edu	1080Ti
60	COMPLETED	b1/0592dd	similarity_chunk (bladder/3)	0	1633464193030	1633464601000	similarity_chunk	bladder/3	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=bladder""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 3 4 similarity             --input bladder.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/b1/0592dd88f3d7ddbbc308318b0fb7ea		1	17179869184					1633472289000.0	8095970.0	7686597.0	97.8	31070510.0	17706975468.0	4079.0	4517.0	528384.0	17708273664.0	0.3	11710001152.0	311103488.0	11777159168.0	311103488.0	745.0	137581.0	nf-b10592dd88f3d7ddbbc308318b0fb7ea	bladder	gpu	4.0	1.0	suncave-0	2080Ti
23	COMPLETED	c2/c548ae	similarity_chunk (rectum/2)	0	1633464160776	1633473275000	similarity_chunk	rectum/2	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=rectum""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 2 4 similarity             --input rectum.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/c2/c548ae20794c3854e085621df1529d		1	17179869184					1633474912000.0	10751224.0	1635343.0	99.1	8231678.0	4578428484.0	2664.0	4375.0	36265984.0	4578746368.0	0.1	12619972608.0	272736256.0	12687134720.0	272736256.0	912.0	19140.0	nf-c2c548ae20794c3854e085621df1529d	rectum	gpu	4.0	1.0	prp-gpu-6.t2.ucsd.edu	2080Ti
32	COMPLETED	4d/c1f849	similarity_chunk (uterus/3)	0	1633464167693	1633473001000	similarity_chunk	uterus/3	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=uterus""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 3 4 similarity             --input uterus.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/4d/c1f84907f09dd7196f1bb986b9aaf8		1	17179869184					1633478784000.0	14616307.0	5782745.0	97.7	23397372.0	13746072200.0	3593.0	4464.0	4096.0	13747023872.0	0.3	11676385280.0	299241472.0	11743543296.0	299241472.0	452.0	102329.0	nf-4dc1f84907f09dd7196f1bb986b9aaf8	uterus	gpu	4.0	1.0	suncave-0	2080Ti
30	COMPLETED	6c/7e5c34	similarity_chunk (uterus/1)	0	1633464166772	1633467177000	similarity_chunk	uterus/1	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=uterus""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 1 4 similarity             --input uterus.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/6c/7e5c34abe00b0314505bd3fdcd9d64		1	17179869184					1633479289000.0	15122228.0	12111212.0	99.9	23482992.0	13811055113.0	3684.0	4471.0	4251648.0	13813403648.0	0.1	16775892992.0	322678784.0	16843055104.0	322678784.0	914.0	206722.0	nf-6c7e5c34abe00b0314505bd3fdcd9d64	uterus	gpu	4.0	1.0	prp-gpu-2.t2.ucsd.edu	1080Ti
29	COMPLETED	99/461642	similarity_chunk (uterus/0)	0	1633464166311	1633467177000	similarity_chunk	uterus/0	[]	systemsgenetics/kinc:3.4.2-gpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=uterus""
        echo ""#TRACE hardware_type=gpu""
        echo ""#TRACE chunks=4""
        echo ""#TRACE threads=1""

        kinc settings set cuda 0
        kinc settings set opencl none
        kinc settings set threads 1
        kinc settings set logging off

        kinc chunkrun 0 4 similarity             --input uterus.emx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/99/46164284835bb5b4188a222aa1367e		1	17179869184					1633479350000.0	15183689.0	12172313.0	99.6	23483111.0	13812150664.0	3684.0	4472.0	8192.0	13814501376.0	0.1	16775860224.0	322961408.0	16910131200.0	322961408.0	897.0	225838.0	nf-9946164284835bb5b4188a222aa1367e	uterus	gpu	4.0	1.0	prp-gpu-2.t2.ucsd.edu	1080Ti
