task_id	status	hash	name	exit	submit	start	process	tag	module	container	attempt	script	scratch	workdir	queue	cpus	memory	disk	time	env	error_action	complete	duration	realtime	%cpu	rchar	wchar	syscr	syscw	read_bytes	write_bytes	%mem	vmem	rss	peak_vmem	peak_rss	vol_ctxt	inv_ctxt	native_id	dataset	chunks	abd_bytes	node_type
6	COMPLETED	c2/7840ef	similarity_merge (PRJNA301554.slim)	0	1633384148699	1633384151000	similarity_merge	PRJNA301554.slim	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE dataset=PRJNA301554.slim""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input PRJNA301554.slim.emx             --ccm PRJNA301554.slim.ccm             --cmx PRJNA301554.slim.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615b73e1b327bc20ef76811b/work/c2/7840efabb637daef4e6f07e0f7b3b2		1	17179869184					1633384161000	12301	9541	40.2	28447074	17460678	825	667593	81920	17469440	0.0	3175690240	73469952	3443933184	73469952	704	291	nf-c27840efabb637daef4e6f07e0f7b3b2	PRJNA301554.slim	4	27819412	
6	COMPLETED	d3/eef6eb	similarity_merge (PRJNA301554.slim)	0	1633397619686	1633397622000	similarity_merge	PRJNA301554.slim	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=PRJNA301554.slim""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input PRJNA301554.slim.emx             --ccm PRJNA301554.slim.ccm             --cmx PRJNA301554.slim.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615ba9d7b327bc20ef768139/work/d3/eef6eb2700283366a037e23b4280c0		1	17179869184					1633397628000	8314	5466	65.8	28446275	17460701	825	667594	81920	17469440	0.0	3174699008	72519680	3511042048	80576512	686	258	nf-d3eef6eb2700283366a037e23b4280c0	PRJNA301554.slim	4	27819412	nrp-c16.nysernet.org
81	COMPLETED	6c/aaa02a	similarity_merge (salivary)	0	1633962246482	1633962321000	similarity_merge	salivary	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=salivary""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input salivary.emx             --ccm salivary.ccm             --cmx salivary.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/6c/aaa02a59fded520e52c5c393343f0e		1	17179869184					1633963318000	1071518	994163	96.5	11195387223	7077579387	11661	283064050	2416640	7077851136	0.1	1297510400	72216576	1303711744	72216576	843	77703	nf-6caaa02a59fded520e52c5c393343f0e	salivary	4	1.11949e+10	k8-1.gpn.onenet.net
83	COMPLETED	ad/cfac45	similarity_merge (rectum)	0	1633965236687	1633965240000	similarity_merge	rectum	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=rectum""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input rectum.emx             --ccm rectum.ccm             --cmx rectum.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/ad/cfac45e40f14cdf6a003a5c469262c		1	17179869184					1633966600000	1363313	1357614	95.8	18236370312	10925793333	11628	307741236	2428928	10925969408	0.1	1301983232	77135872	1305849856	80793600	1019	156217	nf-adcfac45e40f14cdf6a003a5c469262c	rectum	4	1.82358e+10	k8-1.gpn.onenet.net
88	COMPLETED	a1/1ddee6	similarity_merge (bladder)	0	1633985128183	1633985208000	similarity_merge	bladder	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=bladder""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input bladder.emx             --ccm bladder.ccm             --cmx bladder.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/a1/1ddee6fd47ab1388b910f54ca45e4d		1	17179869184					1633990212000	5083817	5002681	94.8	70525336184	42431055315	12150	391060320	0	42432540672	0.0	2199486464	106713088	2199633920	106713088	4061	410444	nf-a11ddee6fd47ab1388b910f54ca45e4d	bladder	4	7.05247e+10	k8s-igrok-07.calit2.optiputer.net
87	COMPLETED	4a/f04696	similarity_merge (esophagus)	0	1633978752848	1633978833000	similarity_merge	esophagus	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=esophagus""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input esophagus.emx             --ccm esophagus.ccm             --cmx esophagus.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/4a/f0469601cabe80dfc86bb5f6e0cc4a		1	17179869184					1633991789000	13036152	12955471	93.2	162865220713	121609741254	12396	541686892	0	121613631488	0.0	2245120000	152219648	2245173248	152219648	14361	1060938	nf-4af0469601cabe80dfc86bb5f6e0cc4a	esophagus	4	1.62865e+11	k8s-igrok-06.calit2.optiputer.net
92	COMPLETED	d2/463b7e	similarity_merge (colon)	0	1634006758621	1634006759000	similarity_merge	colon	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=colon""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input colon.emx             --ccm colon.ccm             --cmx colon.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/d2/463b7ef07217a4f6a7caacce5cbd9a		1	17179869184					1634016071000	9312379	9310624	92.4	121382413131	83340850121	11765	469520274	0	83343609856	0.0	2227994624	134557696	2228047872	135102464	12062	755040	nf-d2463b7ef07217a4f6a7caacce5cbd9a	colon	4	1.21382e+11	k8s-igrok-07.calit2.optiputer.net
95	COMPLETED	0b/c11e1f	similarity_merge (kidney)	0	1634023889166	1634023892000	similarity_merge	kidney	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=kidney""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input kidney.emx             --ccm kidney.ccm             --cmx kidney.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/0b/c11e1f0a5cd0e50baac076a23a3b66		1	17179869184					1634050453000	26563834	26557884	85.2	168320341422	111846214777	11849	459323165	532480	111854235648	0.0	2754224128	187047936	2773155840	190283776	16504	239143	nf-0bc11e1f0a5cd0e50baac076a23a3b66	kidney	4	1.6832e+11	nrp-c10.nysernet.org
99	COMPLETED	99/be979d	similarity_merge (bile-duct)	0	1634246077872	1634246170000	similarity_merge	bile-duct	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=bile-duct""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input bile-duct.emx             --ccm bile-duct.ccm             --cmx bile-duct.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/99/be979d88c766c713fc625ee18d5329		1	15032385536					1634246980000	902128	799935	96.3	7901194020	5159586281	11321	245648966	0	5159809024	0.0	1633558528	72294400	1641197568	73093120	778	5457	nf-99be979d88c766c713fc625ee18d5329	bile-duct	4	7.90061e+09	suncave-7
100	COMPLETED	6e/00b46e	similarity_merge (uterus)	0	1634247000972	1634247063000	similarity_merge	uterus	[]	systemsgenetics/kinc:3.4.2-cpu	1	"
        echo ""#TRACE node_type=${NODE_TYPE}""
        echo ""#TRACE dataset=uterus""
        echo ""#TRACE chunks=4""
        echo ""#TRACE abd_bytes=`stat -Lc '%s' *.abd | awk '{sum += $1} END {print sum}'`""

        kinc settings set cuda none
        kinc settings set opencl none
        kinc settings set logging off

        kinc merge 4 similarity             --input uterus.emx             --ccm uterus.ccm             --cmx uterus.cmx             --clusmethod gmm             --corrmethod spearman             --minexpr 0             --minsamp 25             --minclus 1             --maxclus 5             --crit ICL             --preout true             --postout true             --mincorr 0             --maxcorr 1             --bsize 0             --gsize 4096             --lsize 32
        "		/workspace/_workflows/615bb58bb327bc20ef768157/work/6e/00b46e167b1d6be34cfc6454c63db3		1	15032385536					1634250437000	3436028	3373346	94.8	55136184745	33715855001	11982	398992378	0	33716559872	0.1	1659117568	97488896	1669226496	107761664	2009	45948	nf-6e00b46e167b1d6be34cfc6454c63db3	uterus	4	5.51356e+10	suncave-7
