hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	emx_bytes	ccm_bytes	cmx_bytes	threshold
96/da9aff	77	2190777.pbs02	extract	Yeast.001.001	extract (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591359803	1618591368895	1618591387849	28046	22556		28.4	0.1	146911232.0	1853173760.0	146911232.0	1954226176.0	5050048077.0	4575216.0	309519.0	276.0	5049463288.0	270436.0	479851.0	13.0	/scratch1/btsheal/work/96/da9affdd452d36fed506a862ad5cc1			Yeast.001.001		2639812	375578	0.731003
73/989816	76	2190776.pbs02	extract	Yeast.002.001	extract (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591356722	1618591362866	1618591482853	126131	119374		26.3	0.1	149327872.0	1853419520.0	149327872.0	1912139776.0	21023742013.0	4675728.0	1284475.0	281.0	21023157180.0	370677.0	1792299.0	151.0	/scratch1/btsheal/work/73/989816f14e10a557baf18fd126a8bd			Yeast.002.001		9469143	1276339	0.779003
52/4a4463	83	2190781.pbs02	extract	Yeast.003.001	extract (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591371935	1618591377868	1618591622883	250948	245299		29.2	0.1	146837504.0	1853800448.0	146837504.0	1954226176.0	54116442424.0	4788117.0	3304294.0	285.0	54115860576.0	482983.0	6019227.0	29.0	/scratch1/btsheal/work/52/4a4463169a3c43882fb39541e4bc2f			Yeast.003.001	2057888	22360474	2942240	0.810002
1a/72cd14	75	2190775.pbs02	extract	Yeast.004.001	extract (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591353744	1618591357915	1618591817884	464140	455337		30.8	0.1	147042304.0	1854214144.0	147042304.0	1954226176.0	100376674899.0	4717968.0	6127795.0	284.0	100376090035.0	412739.0	7434769.0	50.0	/scratch1/btsheal/work/1a/72cd1409c3429dd69e1753a39e8b0a			Yeast.004.001		39116887	5095883	0.831002
80/1798a5	82	2190780.pbs02	extract	Yeast.005.001	extract (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591368887	1618591372849	1618592072909	704022	697058		30.3	0.1	148606976.0	1855299584.0	148606976.0	1914019840.0	156559861526.0	4790678.0	9556942.0	285.0	156559279658.0	485448.0	10535023.0	58.0	/scratch1/btsheal/work/80/1798a56744574c66b4deaeb54294bd			Yeast.005.001	3428061	59257554	7676740	0.839002
ee/cefc9a	81	2190779.pbs02	extract	Yeast.006.001	extract (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591366029	1618591368903	1618592332922	966893	960309		24.6	0.1	149073920.0	1855242240.0	149073920.0	1913962496.0	232474150090.0	4925414.0	14190386.0	297.0	232473565243.0	620075.0	18187297.0	62.0	/scratch1/btsheal/work/ee/cefc9a81c1a0b5760a4ab449e8e5ab			Yeast.006.001		84854043	10946119	0.843002
3c/f9e809	87	2190783.pbs02	extract	Yeast.007.001	extract (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591381539	1618591387866	1618592867958	1486419	1478488		29.4	0.1	149860352.0	1856704512.0	149860352.0	1954226176.0	326600102079.0	5041342.0	19935378.0	304.0	326599517212.0	735946.0	21163928.0	287.0	/scratch1/btsheal/work/3c/f9e809a91ff59368953e3df879a857			Yeast.007.001		116492411	14978067	0.847002
af/83fa00	88	2190788.pbs02	extract	Yeast.008.001	extract (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591395900	1618591402857	1618593212983	1817083	1809861		23.8	0.1	150458368.0	1857093632.0	150458368.0	1915813888.0	440230291212.0	4940709.0	26870813.0	297.0	440229706372.0	635304.0	34189107.0	122.0	/scratch1/btsheal/work/af/83fa005224b107a03599a6b98dd65f			Yeast.008.001		153106013	19638069	0.859002
e3/45a88a	109	2195933.pbs02	extract	Yeast.001.001	extract (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605313562	1618605322027	1618605337028	23466	18709		36.3	0.1	146862080.0	1853173760.0	146862080.0	1954226176.0	5050048214.0	4575211.0	309520.0	275.0	5049462915.0	270449.0	264890.0	10.0	/scratch1/btsheal/work/e3/45a88a3a68f9237e265c6ba863dde6			Yeast.001.001		2639812	375578	0.731003
63/7f337e	107	2195924.pbs02	extract	Yeast.002.001	extract (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605307641	1618605312074	1618605412028	104387	95971		32.3	0.1	147677184.0	1853419520.0	147677184.0	1954226176.0	21023742551.0	4675692.0	1284477.0	282.0	21023235064.0	370680.0	1547403.0	40.0	/scratch1/btsheal/work/63/7f337e2450e2896256c01c5e58248c			Yeast.002.001		9469143	1276339	0.779003
a5/65454c	110	2195934.pbs02	extract	Yeast.003.001	extract (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605316531	1618605322032	1618605572055	255524	247492		28.0	0.1	149454848.0	1853521920.0	149454848.0	1954222080.0	54116401373.0	4788188.0	3304294.0	289.0	54115816143.0	482995.0	3527413.0	28.0	/scratch1/btsheal/work/a5/65454ce53e550883fff8c25028568e			Yeast.003.001		22360474	2942240	0.810002
ff/0b2200	108	2195927.pbs02	extract	Yeast.004.001	extract (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605310619	1618605317036	1618605737054	426435	418393		27.2	0.1	148602880.0	1854214144.0	148602880.0	1912934400.0	100376675314.0	4717967.0	6127797.0	284.0	100376090032.0	412739.0	6360500.0	91.0	/scratch1/btsheal/work/ff/0b22002eb21f66326c327f43541690			Yeast.004.001		39116887	5095883	0.831002
dc/1237a2	118	2195938.pbs02	extract	Yeast.005.001	extract (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605328298	1618605337088	1618606007080	678782	672620		26.0	0.1	148955136.0	1855012864.0	148955136.0	1913733120.0	156560115559.0	4805039.0	9556961.0	290.0	156559530184.0	499775.0	10031327.0	53.0	/scratch1/btsheal/work/dc/1237a2eb22eee7f48925a0afd9cb92			Yeast.005.001		59257657	7676753	0.838002
5b/f61ba7	117	2195937.pbs02	extract	Yeast.006.001	extract (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605325307	1618605332038	1618606307097	981790	973025		24.1	0.1	150052864.0	1855807488.0	150052864.0	1954226176.0	232474239494.0	4925428.0	14190393.0	297.0	232473658212.0	620087.0	14684794.0	171.0	/scratch1/btsheal/work/5b/f61ba7ae7d12554284783cd8ed8f80			Yeast.006.001		84854043	10946119	0.843002
08/7b6d1a	120	2195942.pbs02	extract	Yeast.007.001	extract (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605343034	1618605347038	1618606712129	1369095	1364382		25.0	0.1	150908928.0	1856577536.0	150908928.0	1915297792.0	326600077308.0	5041299.0	19935376.0	301.0	326599494968.0	735960.0	20204878.0	197.0	/scratch1/btsheal/work/08/7b6d1a7f2ff1a39803a1752819529d			Yeast.007.001	4797438	116492411	14978067	0.847002
b8/51cd53	119	2195941.pbs02	extract	Yeast.008.001	extract (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605340047	1618605347033	1618607112149	1772102	1763459		24.3	0.1	150507520.0	1857220608.0	150507520.0	1954226176.0	440230310983.0	4915283.0	26870816.0	293.0	440229728604.0	609927.0	27795141.0	142.0	/scratch1/btsheal/work/b8/51cd53d7f906b5c34dcf419999e50c			Yeast.008.001	5482943	153106013	19638069	0.860002
05/078dde	65	2196094.pbs02	extract	Yeast.001.001	extract (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607259694	1618607266761	1618607281749	22055	16999		39.4	0.1	146477056.0	1853034496.0	146477056.0	1954226176.0	5050026064.0	4575211.0	309519.0	276.0	5049440739.0	270449.0	224577.0	11.0	/scratch1/btsheal/work/05/078dde8e3ef0877c7aec93941a25d7			Yeast.001.001		2639812	375578	0.731003
bf/363d33	59	2196090.pbs02	extract	Yeast.002.001	extract (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607247670	1618607251762	1618607346746	99076	92228		33.2	0.1	146206720.0	1853149184.0	146206720.0	1954222080.0	21023694808.0	4675603.0	1284472.0	278.0	21023112838.0	370680.0	1338027.0	16.0	/scratch1/btsheal/work/bf/363d33f4617bc597de5fc97c6d2260			Yeast.002.001	1373151	9469143	1276339	0.779003
a0/862524	64	2196093.pbs02	extract	Yeast.003.001	extract (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607256687	1618607261744	1618607486771	230084	221383		30.0	0.1	147640320.0	1854279680.0	147640320.0	1954222080.0	54116512248.0	4788168.0	3304300.0	289.0	54115927147.0	482995.0	3634556.0	66.0	/scratch1/btsheal/work/a0/862524327be5ca3c3aaa93fdac4cc9			Yeast.003.001		22360474	2942240	0.810002
64/8af670	60	2196091.pbs02	extract	Yeast.004.001	extract (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607250669	1618607257909	1618607666782	416113	407141		27.2	0.1	147755008.0	1854484480.0	147755008.0	1913204736.0	100376716777.0	4717912.0	6127799.0	281.0	100376134434.0	412739.0	6120720.0	93.0	/scratch1/btsheal/work/64/8af67055f099ac927cafef43669fe1			Yeast.004.001	2743329	39116887	5095883	0.831002
