hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	hardware_type	chunks	threads
fb/8c0f21	11	2190701.pbs02	similarity_chunk	Yeast.002.001/2	similarity_chunk (Yeast.002.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590961372	1618590967834	1618590982801	21429	16269		98.5	0.1	148393984.0	1854509056.0	148393984.0	1954533376.0	2009085.0	8562334.0	1417.0	188.0	1393592.0	4258588.0	323.0	238.0	/scratch1/btsheal/work/fb/8c0f213add07621c9b12b99594316d			Yeast.002.001	cpu	4	2
7f/c1c02e	12	2190702.pbs02	similarity_chunk	Yeast.002.001/1	similarity_chunk (Yeast.002.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590964398	1618590972800	1618590987802	23404	16725		98.7	0.1	147623936.0	1855500288.0	148115456.0	1914351616.0	2009069.0	9798278.0	1416.0	186.0	1393592.0	5494548.0	388.0	84.0	/scratch1/btsheal/work/7f/c1c02e620d6d495e0a34d046014f0a			Yeast.002.001	cpu	4	2
42/fdc3ec	9	2190703.pbs02	similarity_chunk	Yeast.002.001/0	similarity_chunk (Yeast.002.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590967377	1618590972805	1618590992804	25427	16523		98.6	0.1	150581248.0	1854681088.0	150581248.0	1954533376.0	2009085.0	9417543.0	1417.0	188.0	1393592.0	5113796.0	383.0	107.0	/scratch1/btsheal/work/42/fdc3ec702ccbdc680e95930e6efa39			Yeast.002.001	cpu	4	2
d7/6c3a04	14	2190705.pbs02	similarity_chunk	Yeast.002.001/3	similarity_chunk (Yeast.002.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590973447	1618590977810	1618590997803	24356	16276		98.6	0.1	148721664.0	1854558208.0	149082112.0	1914331136.0	2009085.0	8728542.0	1417.0	188.0	1393592.0	4424796.0	377.0	101.0	/scratch1/btsheal/work/d7/6c3a04dddaddace3d516fbef8759e0			Yeast.002.001	cpu	4	2
e1/0a039b	25	2190713.pbs02	similarity_chunk	Yeast.001.001/0	similarity_chunk (Yeast.001.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590997442	1618591003661	1618591007820	10378	4735		96.0	0.1	147984384.0	1853820928.0	148013056.0	1912541184.0	1331517.0	5607696.0	1377.0	161.0	716026.0	1304048.0	282.0	31.0	/scratch1/btsheal/work/e1/0a039b04a2b14f137a7f5e23b13c5c			Yeast.001.001	cpu	4	2
b2/c74c96	26	2190714.pbs02	similarity_chunk	Yeast.001.001/2	similarity_chunk (Yeast.001.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591000345	1618591003665	1618591012821	12476	4499		95.1	0.1	147652608.0	1853841408.0	147652608.0	1954398208.0	1331517.0	5633128.0	1375.0	160.0	716026.0	1329488.0	288.0	51.0	/scratch1/btsheal/work/b2/c74c96b739962de705668fc39b10a9			Yeast.001.001	cpu	4	2
ee/3e8210	27	2190715.pbs02	similarity_chunk	Yeast.001.001/1	similarity_chunk (Yeast.001.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591003400	1618591007841	1618591012845	9445	4492		95.3	0.1	147451904.0	1853808640.0	147492864.0	1954398208.0	1331517.0	5668108.0	1375.0	160.0	716026.0	1364468.0	316.0	41.0	/scratch1/btsheal/work/ee/3e821063f543f3cc390b78ca14d4d2			Yeast.001.001	cpu	4	2
b5/cd2ebe	28	2190716.pbs02	similarity_chunk	Yeast.001.001/3	similarity_chunk (Yeast.001.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591006373	1618591012859	1618591017820	11447	4450		95.3	0.1	148979712.0	1853480960.0	148979712.0	1912332288.0	1331548.0	5631864.0	1376.0	161.0	716026.0	1328216.0	310.0	41.0	/scratch1/btsheal/work/b5/cd2ebe5cd6b6ed03bf8431505dadd7			Yeast.001.001	cpu	4	2
38/8bab20	15	2190704.pbs02	similarity_chunk	Yeast.004.001/0	similarity_chunk (Yeast.004.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590970468	1618590977805	1618591047805	77337	68373		99.4	0.1	149372928.0	1856098304.0	149372928.0	1954803712.0	3380598.0	22330891.0	1499.0	294.0	2765098.0	18026724.0	391.0	177.0	/scratch1/btsheal/work/38/8bab205dea271f484f2d245d836af3			Yeast.004.001	cpu	4	2
18/e54925	16	2190706.pbs02	similarity_chunk	Yeast.004.001/1	similarity_chunk (Yeast.004.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590976382	1618590982861	1618591052805	76423	68344		99.3	0.1	151506944.0	1857089536.0	151506944.0	1954803712.0	3380565.0	24672235.0	1501.0	296.0	2765098.0	20368052.0	551.0	195.0	/scratch1/btsheal/work/18/e549251ddd7d0227c7a8827ae873ce			Yeast.004.001	cpu	4	2
98/7d98f0	17	2190707.pbs02	similarity_chunk	Yeast.004.001/2	similarity_chunk (Yeast.004.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590979286	1618590987831	1618591052826	73540	67676		99.5	0.1	149553152.0	1857089536.0	149553152.0	1915871232.0	3380559.0	26259870.0	1497.0	292.0	2765098.0	21955720.0	571.0	231.0	/scratch1/btsheal/work/98/7d98f065164e636ecab0f290e3081f			Yeast.004.001	cpu	4	2
