hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	chunks	abd_bytes
ea/2bd9bd	51	2190760.pbs02	similarity_merge	Yeast.004.001	similarity_merge (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591311458	1618591317834	1618591322841	11383	6127		89.5	0.1	150286336.0	1854021632.0	150642688.0	1954840576.0	80824571.0	48517336.0	1679.0	756231.0	80244418.0	44212833.0	1799.0	78.0	/scratch1/btsheal/work/ea/2bd9bded4529a6d206709dafc483a9			Yeast.004.001	4	80133192
15/b2c745	49	2190761.pbs02	similarity_merge	Yeast.002.001	similarity_merge (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591314491	1618591322870	1618591322874	8383	1721		86.0	0.1	148963328.0	1853267968.0	149499904.0	1954570240.0	19938698.0	15049485.0	1392.0	182207.0	19358552.0	10745545.0	702.0	17.0	/scratch1/btsheal/work/15/b2c745ba5d051078d0f9d597427145			Yeast.002.001	4	19291728
8f/69b8f9	50	2190762.pbs02	similarity_merge	Yeast.001.001	similarity_merge (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591317451	1618591322891	1618591322896	5445	770		72.8	0.0	3485696.0	227995648.0	3485696.0	227995648.0	5951030.0	7319151.0	1319.0	50421.0	5370838.0	3015453.0	19.0	0.0	/scratch1/btsheal/work/8f/69b8f983c5d39b6c0ebe2a1f2cc393			Yeast.001.001	4	5326220
fa/ada880	54	2190763.pbs02	similarity_merge	Yeast.006.001	similarity_merge (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591320375	1618591327836	1618591337842	17467	12657		95.0	0.1	151240704.0	1854894080.0	151244800.0	1955127296.0	174827676.0	100104833.0	2158.0	1642620.0	174247514.0	95800225.0	3385.0	98.0	/scratch1/btsheal/work/fa/ada8800ab16437eb234ad36fbbf8d8			Yeast.006.001	4	174091892
8a/c9ccf9	53	2190764.pbs02	similarity_merge	Yeast.005.001	similarity_merge (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591323315	1618591327840	1618591337863	14548	9096		93.6	0.1	151822336.0	1854062592.0	152489984.0	1913597952.0	122211224.0	71238904.0	1893.0	1146454.0	121631030.0	66934357.0	2248.0	135.0	/scratch1/btsheal/work/8a/c9ccf95e6d39f12826ba7cf9e3518f			Yeast.005.001	4	121497584
31/ac8a83	52	2190765.pbs02	similarity_merge	Yeast.003.001	similarity_merge (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591326420	1618591332839	1618591337883	11463	3690		90.5	0.1	148164608.0	1853956096.0	148643840.0	1954713600.0	46403809.0	29607204.0	1511.0	431721.0	45823609.0	25302777.0	1265.0	40.0	/scratch1/btsheal/work/31/ac8a8382e7c1ddfc4d1ad4d85f996c			Yeast.003.001	4	45734560
31/4e4ac6	56	2190767.pbs02	similarity_merge	Yeast.007.001	similarity_merge (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591332281	1618591337905	1618591357846	25565	18245		90.7	0.1	148660224.0	1854447616.0	149430272.0	1955254272.0	239880207.0	135775218.0	2467.0	2256100.0	239299995.0	131470541.0	4374.0	124.0	/scratch1/btsheal/work/31/4e4ac6ebc7f7ead0b02664733b3751			Yeast.007.001	4	239122196
c8/e253c7	55	2190766.pbs02	similarity_merge	Yeast.008.001	similarity_merge (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591329353	1618591337902	1618591362846	33493	24791		91.0	0.1	148111360.0	1854656512.0	148971520.0	1955381248.0	315173082.0	177048869.0	2823.0	2966187.0	314592852.0	172744145.0	2685.0	129.0	/scratch1/btsheal/work/c8/e253c72d967f0d96f10c0bc1c21446			Yeast.008.001	4	314392812
63/f7d8c7	82	2195904.pbs02	similarity_merge	Yeast.002.001	similarity_merge (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605265578	1618605272016	1618605277024	11446	2932		53.1	0.1	149860352.0	1853906944.0	149860352.0	1954570240.0	19939360.0	15050298.0	1388.0	182208.0	213418840.0	10753737.0	896.0	28.0	/scratch1/btsheal/work/63/f7d8c72f594a13aed2a7679e70c812			Yeast.002.001	8	19291728
31/488840	81	2195905.pbs02	similarity_merge	Yeast.004.001	similarity_merge (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605268490	1618605277057	1618605282021	13531	5735		91.7	0.1	147165184.0	1853837312.0	147795968.0	1913356288.0	80825175.0	48517375.0	1682.0	756232.0	80244418.0	44212833.0	1463.0	44.0	/scratch1/btsheal/work/31/4888408615d802980d40b1145476f8			Yeast.004.001	8	80133192
