task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch	error_action	hardware_type	revision	threads	clusmethod	corrmethod	preout	postout	bsize	gsize	lsize	np	dataset	trial	n_rows	n_cols
6	4b/9aec4e	604879.pbs02	run_experiment		run_experiment (2)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165743150	1602165747257	1602167842597	2099447	2096441		100.5	0.2	329883648.0	34454323200.0	341864448.0	34720268288.0	18651506.0	139921412.0	10623.0	2815309.0	10178462.0	137713456.0	43837.0	76383.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/4b/9aec4e3c07da30883619c672e23745			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.008	0	5641	150
11	b6/9a7915	604880.pbs02	run_experiment		run_experiment (3)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165745697	1602165752259	1602166348244	602547	598002		102.0	0.0	597839872.0	30549987328.0	598724608.0	30604414976.0	19464844.0	139978928.0	13505.0	2815864.0	3563422.0	137733936.0	15689.0	21406.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/b6/9a791576df3f77210bced93d1060d1			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.008	0	5641	150
21	e3/776769	604883.pbs02	run_experiment		run_experiment (5)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165750706	1602165757268	1602167848435	2097729	2092398		100.5	0.2	327839744.0	34454605824.0	342028288.0	34653159424.0	18651649.0	139921410.0	10619.0	2815311.0	94912414.0	137713456.0	44438.0	76355.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/e3/776769ba67466a405b7061d6458344			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.008	1	5641	150
26	58/e653d7	604884.pbs02	run_experiment		run_experiment (6)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165753137	1602166027286	1602166612402	859265	581335		102.2	0.1	595464192.0	30548008960.0	595464192.0	30668365824.0	19986667.0	139978599.0	14545.0	2815830.0	158973854.0	137742128.0	15770.0	21528.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/58/e653d7ce24d21c9ff3ac632e52a449			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.008	1	5641	150
36	e0/2074d2	604886.pbs02	run_experiment		run_experiment (8)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165758067	1602165762284	1602167872613	2114546	2108982		100.5	0.2	332525568.0	34453159936.0	344715264.0	34718625792.0	18651474.0	139921432.0	10620.0	2815313.0	38227870.0	137713456.0	44097.0	76444.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/e0/2074d2fe0c7c386a30a0db2abcb30a			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.008	2	5641	150
41	83/ddb8b2	604888.pbs02	run_experiment		run_experiment (9)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165760539	1602166352389	1602166952482	1191943	599235		102.0	0.0	597921792.0	30550507520.0	597921792.0	30617616384.0	19464562.0	139978461.0	13508.0	2815848.0	32670.0	137733936.0	15621.0	21393.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/83/ddb8b26638fbd8628833ff391134a9			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.008	2	5641	150
46	dc/1fc3d2	604889.pbs02	run_experiment		run_experiment (10)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165762976	1602165767280	1602165767294	4318	1343		64.2	0.0	127033344.0	2340683776.0	127639552.0	2407792640.0	14664234.0	2317964.0	9637.0	404.0	8104.0	111650.0	700.0	51.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/dc/1fc3d23dfd2f36ec61476cc424392d			cpu	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.001	0	706	18
51	e1/2c4e12	604890.pbs02	run_experiment		run_experiment (11)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165765427	1602165772503	1602165772518	7091	2954		74.6	0.2	309100544.0	34416095232.0	335884288.0	34685927424.0	15066710.0	2924172.0	9838.0	445.0	32672.0	721954.0	1212.0	30.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/e1/2c4e12ddc185f2f6170baa5651ef66			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.001	0	706	18
56	5a/08c235	604891.pbs02	run_experiment		run_experiment (12)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165767850	1602166612424	1602166617405	849555	3224		76.4	0.1	579018752.0	30204391424.0	579018752.0	30310526976.0	16403135.0	2979076.0	13765.0	897.0	98208.0	742434.0	3011.0	56.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/5a/08c235ca4fe908174084f55a9588e9			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.001	0	706	18
61	c8/b0460a	604892.pbs02	run_experiment		run_experiment (13)	CACHED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602165770452	1602165777283	1602165777297	6845	1361		62.0	0.0	129335296.0	2340683776.0	129941504.0	2407792640.0	14664244.0	2317964.0	9640.0	405.0	8104.0	111650.0	721.0	38.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/c8/b0460aa943bed91181f9ec884e5d38			cpu	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.001	1	706	18
