hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	cmx_bytes
ab/c6d3ef	58	2190768.pbs02	threshold_rmt	Yeast.004.001	threshold_rmt (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591335362	1618591342842	1618591342848	7486	3247		78.3	0.1	174010368.0	1877684224.0	174018560.0	1954222080.0	6193511518.0	4391434.0	379253.0	3421.0	6192947243.0	3404.0	11806.0	25.0	/scratch1/btsheal/work/ab/c6d3ef4f07f7979a3ad3b9c07df1df			Yeast.004.001	5095883
07/3bff84	62	2190769.pbs02	threshold_rmt	Yeast.002.001	threshold_rmt (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591338355	1618591342858	1618591347907	9552	1455		81.0	0.1	154042368.0	1859694592.0	154042368.0	1954222080.0	1491537660.0	4407677.0	92269.0	4084.0	1490973369.0	4295.0	2817.0	39.0	/scratch1/btsheal/work/07/3bff84e1215d293b6664137907d3f9			Yeast.002.001	1276339
6d/190a40	65	2190771.pbs02	threshold_rmt	Yeast.001.001	threshold_rmt (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591341297	1618591347918	1618591352846	11549	1273		84.7	0.0	50937856.0	1552756736.0	128344064.0	1641181184.0	412235829.0	4448504.0	26393.0	5577.0	411671547.0	5907.0	290.0	47.0	/scratch1/btsheal/work/6d/190a40395a741892e42d76586ed142			Yeast.001.001	375578
95/401cc2	66	2190772.pbs02	threshold_rmt	Yeast.006.001	threshold_rmt (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591344340	1618591352855	1618591357871	13531	6223		72.5	0.1	206954496.0	1907912704.0	206954496.0	1966632960.0	13454797227.0	4382879.0	822449.0	3094.0	13454232983.0	3002.0	25822.0	90.0	/scratch1/btsheal/work/95/401cc2c58302d0a39be6b6efc4221e			Yeast.006.001	10946119
04/3854cc	71	2190773.pbs02	threshold_rmt	Yeast.005.001	threshold_rmt (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591347361	1618591352858	1618591357887	10526	4153		77.1	0.1	187793408.0	1890746368.0	187793408.0	1949466624.0	9390232379.0	4381484.0	574368.0	3063.0	9389668087.0	3053.0	18131.0	46.0	/scratch1/btsheal/work/04/3854cc45a9504e1d6b30e56e24a26a			Yeast.005.001	7676740
ad/017f1c	73	2190774.pbs02	threshold_rmt	Yeast.003.001	threshold_rmt (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591350560	1618591357900	1618591357905	7345	2280		79.3	0.1	158691328.0	1865412608.0	158691328.0	1954222080.0	3535119814.0	4399281.0	216999.0	3709.0	3534555530.0	3690.0	5925.0	23.0	/scratch1/btsheal/work/ad/017f1cc973e3e9a75d3380885ee0b8			Yeast.003.001	2942240
f2/92761a	78	2190778.pbs02	threshold_rmt	Yeast.007.001	threshold_rmt (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591362906	1618591368898	1618591377852	14946	8029		75.9	0.1	223838208.0	1927368704.0	223838208.0	1986088960.0	18480431221.0	4384501.0	1129188.0	3125.0	18479866936.0	2875.0	36241.0	49.0	/scratch1/btsheal/work/f2/92761a0e6d1f975cc6b1a2c0239d12			Yeast.007.001	14978067
44/adc707	84	2190782.pbs02	threshold_rmt	Yeast.008.001	threshold_rmt (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618591374891	1618591382855	1618591392854	17963	13066		60.7	0.2	246534144.0	1949786112.0	246534144.0	2008506368.0	24297461598.0	4381825.0	1484232.0	3023.0	24296897305.0	2754.0	47835.0	53.0	/scratch1/btsheal/work/44/adc7077a204c762d85c7952a35554a			Yeast.008.001	19638069
56/e21c3c	90	2195912.pbs02	threshold_rmt	Yeast.002.001	threshold_rmt (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605289562	1618605298059	1618605298064	8502	1496		80.9	0.1	154513408.0	1859538944.0	154513408.0	1918259200.0	1491538170.0	4410802.0	92270.0	4192.0	1490989753.0	4355.0	2808.0	16.0	/scratch1/btsheal/work/56/e21c3cd2cf3645ee3351cfb95240ef			Yeast.002.001	1276339
9e/28eee9	93	2195913.pbs02	threshold_rmt	Yeast.004.001	threshold_rmt (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605292519	1618605298074	1618605302024	9505	3039		78.4	0.1	175992832.0	1878138880.0	175992832.0	1954222080.0	6193512022.0	4391479.0	379258.0	3425.0	6192947243.0	3401.0	11710.0	29.0	/scratch1/btsheal/work/9e/28eee973de200b703fb61b9345ae4f			Yeast.004.001	5095883
ae/7c6ae6	96	2195914.pbs02	threshold_rmt	Yeast.001.001	threshold_rmt (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605295491	1618605298077	1618605302043	6552	969		83.5	0.0	3526656.0	227995648.0	3526656.0	227995648.0	412236264.0	4430174.0	26395.0	4948.0	411671547.0	5534.0	18.0	0.0	/scratch1/btsheal/work/ae/7c6ae6614c5518bff95d6a92008bf1			Yeast.001.001	375578
93/f0a41c	99	2195915.pbs02	threshold_rmt	Yeast.003.001	threshold_rmt (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605298449	1618605307026	1618605307030	8581	2143		78.9	0.1	163381248.0	1866088448.0	163381248.0	1924808704.0	3535120326.0	4399252.0	217000.0	3708.0	3534555530.0	3688.0	6640.0	16.0	/scratch1/btsheal/work/93/f0a41c507bc41c7f8f574f459793b9			Yeast.003.001	2942240
20/43dc11	101	2195916.pbs02	threshold_rmt	Yeast.006.001	threshold_rmt (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605301373	1618605307040	1618605312059	10686	5538		75.3	0.1	204242944.0	1907335168.0	204242944.0	1966055424.0	13454797713.0	4385043.0	822450.0	3168.0	13454232983.0	3047.0	25756.0	38.0	/scratch1/btsheal/work/20/43dc11d3433e09f4c9446fe8f149dc			Yeast.006.001	10946119
