hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	gene_set	n_genes	n_train_samples	n_perturb_samples
1b/d01285	201	2653579.pbs02	perturb	gene-set-002	perturb (gene-set-002)	COMPLETED	0			1	86400000			1	1623174660620	1623174669233	1623174684248	23628	15118		95.2	0.4	517079040	2407018496	517079040	2407018496	495493425	151488234	51414	36992	145258858	118784	3281	49	/scratch1/btsheal/work/1b/d012850b8411b4ce4b384681e77acc			gene-set-002	12	82	732
cd/3df5fc	202	2653584.pbs02	perturb	gene-set-001	perturb (gene-set-001)	COMPLETED	0			1	86400000			1	1623174673842	1623174679236	1623174694235	20393	14774		96.7	0.4	530489344	2413699072	530489344	2413699072	495493457	151487272	42047	36992	138004842	118784	3279	52	/scratch1/btsheal/work/cd/3df5fc107ae806a8c1b74999cb5c89			gene-set-001	12	82	732
a4/adb5a3	203	2653591.pbs02	perturb	gene-set-000	perturb (gene-set-000)	COMPLETED	0			1	86400000			1	1623174687067	1623174694242	1623174709238	22171	17517		96.5	1.2	1630683136	26536980480	1630683136	26536980480	495477012	151455232	34939	36992	137992554	86016	3344	54	/scratch1/btsheal/work/a4/adb5a3832415c47efadb3d15a013d3			gene-set-000	8	82	732
41/7c38ad	204	2653597.pbs02	perturb	gene-set-005	perturb (gene-set-005)	COMPLETED	0			1	86400000			1	1623174700250	1623174704237	1623174719238	18988	14681		96.4	0.4	529813504	2414497792	529813504	2414497792	495505758	151513239	37507	36992	9107818	143360	3280	54	/scratch1/btsheal/work/41/7c38adb678d81f9f316240aa51d357			gene-set-005	15	82	732
d8/cd8fd2	205	2653603.pbs02	perturb	gene-set-004	perturb (gene-set-004)	COMPLETED	0			1	86400000			1	1623174713329	1623174719245	1623174739241	25912	16997		97.4	1.2	1668583424	26552516608	1668583424	26552516608	495509878	151521220	34079	36992	1825130	151552	3367	58	/scratch1/btsheal/work/d8/cd8fd243011cdd80bbec473a5d82f4			gene-set-004	16	82	732
18/608c9c	206	2653607.pbs02	perturb	gene-set-003	perturb (gene-set-003)	COMPLETED	0			1	86400000			1	1623174726527	1623174734237	1623174749239	22712	14779		95.6	0.4	524406784	2412019712	524406784	2412019712	495514147	151530050	41044	36992	9140586	159744	6645	53	/scratch1/btsheal/work/18/608c9c9e0ded5e79adacb64e777118			gene-set-003	17	82	732
f4/e0e0d9	207	2653613.pbs02	perturb	gene-set-006	perturb (gene-set-006)	COMPLETED	0			1	86400000			1	1623174739600	1623174744238	1623174764240	24640	16208		97.3	0.4	502046720	2391224320	502046720	2391224320	495477020	151454992	34077	36992	2410	86016	3278	54	/scratch1/btsheal/work/f4/e0e0d90799582b026cf86905cc282f			gene-set-006	8	82	732
17/199be2	208	2653619.pbs02	perturb	gene-set-007	perturb (gene-set-007)	COMPLETED	0			1	86400000			1	1623174752742	1623174759861	1623174774241	21499	14954		96.9	0.4	524292096	2408304640	524292096	2408304640	495530577	151562713	34788	36992	6506	192512	3275	53	/scratch1/btsheal/work/17/199be29729792078749a3784d314f8			gene-set-007	21	82	732
3a/1592f1	209	2653624.pbs02	perturb	gene-set-008	perturb (gene-set-008)	COMPLETED	0			1	86400000			1	1623174765877	1623174774247	1623174789244	23367	16910		97.1	1.2	1670438912	26558226432	1670438912	26634276864	495530566	151563810	35199	36992	1849706	192512	3373	58	/scratch1/btsheal/work/3a/1592f1e4b64e3b99b324121bff9305			gene-set-008	21	82	732
61/44eef7	210	2653629.pbs02	perturb	gene-set-010	perturb (gene-set-010)	COMPLETED	0			1	86400000			1	1623174779115	1623174784241	1623174799244	20129	15556		96.9	0.4	506626048	2395553792	506626048	2395553792	495530397	151565230	34755	36992	9206122	196608	3275	51	/scratch1/btsheal/work/61/44eef7ee379fd6425e694919b9c9b7			gene-set-010	21	82	732
ad/b5f4ba	211	2653635.pbs02	perturb	gene-set-009	perturb (gene-set-009)	COMPLETED	0			1	86400000			1	1623174792215	1623174799251	1623174814244	22029	17314		96.4	1.2	1631432704	26538475520	1631432704	26605584384	495489335	151479409	42195	36992	1804650	110592	6717	64	/scratch1/btsheal/work/ad/b5f4babcf0c7963c77c3ee69eeadba			gene-set-009	11	82	732
df/5576aa	212	2653640.pbs02	perturb	gene-set-011	perturb (gene-set-011)	COMPLETED	0			1	86400000			1	1623174805374	1623174809243	1623174824244	18870	14803		96.7	0.4	528203776	2413166592	528203776	2413166592	495497553	151496297	45389	36992	9075050	126976	3274	59	/scratch1/btsheal/work/df/5576aa16a2aafcc24b580f2a394586			gene-set-011	13	82	732
58/6f7139	213	2653645.pbs02	perturb	gene-set-012	perturb (gene-set-012)	COMPLETED	0			1	86400000			1	1623174818545	1623174819878	1623174844244	25699	17175		97.1	1.2	1656070144	26549837824	1656070144	26549837824	495468802	151437400	34317	36992	1775978	69632	3341	56	/scratch1/btsheal/work/58/6f7139f523769fe21ad996f1de51f3			gene-set-012	6	82	732
