hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	gene_set	n_genes	n_train_samples
3e/0b88da	2	2652011.pbs02	train_target	gene-set-002	train_target (gene-set-002)	COMPLETED	0			1	86400000			1	1623171983285	1623171984716	1623171994025	10740	6342		90.0	1.1	1428004864	26157973504	1428004864	26157973504	85200444	22548628	10076	3998	22492714	7327744	7392	18	/scratch1/btsheal/work/3e/0b88daa7aa2cbbc0cf2a7069bb1cb8			gene-set-002	12	82
ba/0f6d3e	3	2652016.pbs02	train_target	gene-set-001	train_target (gene-set-001)	COMPLETED	0			1	86400000			1	1623171996331	1623172004018	1623172009021	12690	6069		93.4	1.2	1555525632	26511708160	1555525632	26578817024	85200403	22548636	8796	3998	7247402	7327744	3411	26	/scratch1/btsheal/work/ba/0f6d3edfc288f84cec71f0f5c83a3d			gene-set-001	12	82
3c/701005	1	2652021.pbs02	train_target	gene-set-000	train_target (gene-set-000)	COMPLETED	0			1	86400000			1	1623172009383	1623172014018	1623172024022	14639	6409		93.0	1.1	1525686272	26233430016	1525686272	26233692160	85200410	22499441	10236	3998	7194154	7278592	3362	16	/scratch1/btsheal/work/3c/701005aa1b9af68fd4611b0df10b29			gene-set-000	8	82
68/5b06e3	6	2652026.pbs02	train_target	gene-set-005	train_target (gene-set-005)	COMPLETED	0			1	86400000			1	1623172022487	1623172029019	1623172034021	11534	6192		89.1	1.1	1525370880	26235084800	1525370880	26235346944	85200344	22585503	9606	3998	22533674	7364608	7425	19	/scratch1/btsheal/work/68/5b06e37a49376d317e536a96162dc9			gene-set-005	15	82
88/d36bcd	5	2652031.pbs02	train_target	gene-set-004	train_target (gene-set-004)	COMPLETED	0			1	86400000			1	1623172035664	1623172044020	1623172049022	13358	6434		93.3	1.1	1525374976	26233618432	1525374976	26233880576	85200469	22597800	8796	3998	7292458	7376896	3347	17	/scratch1/btsheal/work/88/d36bcdb6f2734e0bf0b1c4b44de745			gene-set-004	16	82
25/766fa5	4	2652036.pbs02	train_target	gene-set-003	train_target (gene-set-003)	COMPLETED	0			1	86400000			1	1623172048754	1623172049901	1623172064027	15273	6316		93.9	1.1	1550831616	26235224064	1550831616	26235224064	85200478	22610101	8795	3998	7304746	7389184	3402	21	/scratch1/btsheal/work/25/766fa50488ce2573f1dc798216fad8			gene-set-003	17	82
42/9aee93	7	2652042.pbs02	train_target	gene-set-006	train_target (gene-set-006)	COMPLETED	0			1	86400000			1	1623172061852	1623172069025	1623172074028	12176	6357		93.1	1.1	1541898240	26235838464	1541898240	26235838464	85200418	22499449	8805	3998	7194154	7278592	3395	25	/scratch1/btsheal/work/42/9aee930aeb0daf689e020eefbab453			gene-set-006	8	82
5f/48d2ed	8	2652048.pbs02	train_target	gene-set-007	train_target (gene-set-007)	COMPLETED	0			1	86400000			1	1623172074905	1623172079025	1623172089028	14123	5809		92.4	1.1	1551757312	26511724544	1551757312	26578833408	85200397	22659289	9667	3998	7353898	7438336	3417	27	/scratch1/btsheal/work/5f/48d2ed7f16d7bff31f22c6d56cf630			gene-set-007	21	82
fd/3fb0f9	9	2652052.pbs02	train_target	gene-set-008	train_target (gene-set-008)	COMPLETED	0			1	86400000			1	1623172088172	1623172094027	1623172104032	15860	6581		92.2	1.1	1522040832	26233991168	1522040832	26234253312	85200502	22659278	8836	3998	7353898	7438336	3331	27	/scratch1/btsheal/work/fd/3fb0f9563f7cbc5127d8c9f32c0005			gene-set-008	21	82
e9/1c5c27	10	2652058.pbs02	train_target	gene-set-010	train_target (gene-set-010)	COMPLETED	0			1	86400000			1	1623172101295	1623172109030	1623172114037	12742	6035		89.1	1.1	1551339520	26234482688	1551339520	26234482688	85200385	22659269	8796	3998	7357994	7438336	3397	16	/scratch1/btsheal/work/e9/1c5c275cbcfd00aed8440701ecec63			gene-set-010	21	82
57/62e41d	11	2652064.pbs02	train_target	gene-set-009	train_target (gene-set-009)	COMPLETED	0			1	86400000			1	1623172114452	1623172119030	1623172129034	14582	6882		87.1	0.8	1134153728	26000084992	1134153728	26000084992	85200431	22536327	9478	3998	7231018	7315456	6796	27	/scratch1/btsheal/work/57/62e41da396245df83d10af8504e874			gene-set-009	11	82
79/af83d3	12	2652069.pbs02	train_target	gene-set-011	train_target (gene-set-011)	COMPLETED	0			1	86400000			1	1623172127642	1623172134031	1623172139037	11395	6455		83.4	1.0	1379872768	26127929344	1379872768	26127929344	85200337	22560921	8796	3998	7255594	7340032	3324	15	/scratch1/btsheal/work/79/af83d3530b581d8491c77ae9333284			gene-set-011	13	82
7b/a7925c	13	2652074.pbs02	train_target	gene-set-012	train_target (gene-set-012)	COMPLETED	0			1	86400000			1	1623172140701	1623172149031	1623172154034	13333	6583		90.1	1.1	1455386624	26180841472	1455386624	26180841472	85200400	22474855	9895	3998	7169578	7254016	3327	23	/scratch1/btsheal/work/7b/a7925c9c5435c4a5e39fccbeb67115			gene-set-012	6	82
ac/99ca38	14	2652083.pbs02	train_target	gene-set-013	train_target (gene-set-013)	COMPLETED	0			1	86400000			1	1623172153962	1623172159034	1623172169039	15077	6079		93.1	1.1	1552871424	26234867712	1552871424	26234867712	85200422	22499448	8796	3998	7194154	7278592	3399	22	/scratch1/btsheal/work/ac/99ca383722b750313f560af632248d			gene-set-013	8	82
36/b9dd05	15	2652104.pbs02	train_target	gene-set-014	train_target (gene-set-014)	COMPLETED	0			1	86400000			1	1623172167152	1623172169686	1623172179040	11888	6048		90.5	1.1	1551638528	26237513728	1551638528	26237775872	85200246	22487154	8805	3998	7181866	7266304	6775	19	/scratch1/btsheal/work/36/b9dd0557dd2f68e7b8815ba0913b19			gene-set-014	7	82
e8/c7aeb1	16	2652109.pbs02	train_target	gene-set-015	train_target (gene-set-015)	COMPLETED	0			1	86400000			1	1623172180275	1623172184036	1623172194038	13763	6930		79.0	1.1	1553129472	26514251776	1553129472	26581360640	85200419	22499450	9596	3998	7194154	7278592	3412	23	/scratch1/btsheal/work/e8/c7aeb184be679fb3ed630873ed2db0			gene-set-015	8	82
80/ca00d9	18	2652115.pbs02	train_target	gene-set-017	train_target (gene-set-017)	COMPLETED	0			1	86400000			1	1623172193378	1623172199036	1623172204039	10661	5988		92.6	1.1	1552617472	26511695872	1555017728	26578804736	85200429	22511732	9973	3998	7206442	7290880	3574	21	/scratch1/btsheal/work/80/ca00d966cd330a460a6d15b188f8d2			gene-set-017	9	82
36/a60c8a	17	2652122.pbs02	train_target	gene-set-016	train_target (gene-set-016)	COMPLETED	0			1	86400000			1	1623172206498	1623172214037	1623172219039	12541	7065		84.7	1.1	1552277504	26511781888	1552277504	26578890752	85200448	22560920	9705	3998	7259690	7340032	3412	31	/scratch1/btsheal/work/36/a60c8a6d11dfad45b0828e778e30ed			gene-set-016	13	82
bc/446dd4	20	2652126.pbs02	train_target	gene-set-018	train_target (gene-set-018)	COMPLETED	0			1	86400000			1	1623172219579	1623172224039	1623172234041	14462	5941		91.0	1.1	1552269312	26511773696	1552269312	26578882560	85200327	22548627	8796	3998	7243306	7327744	3407	31	/scratch1/btsheal/work/bc/446dd45f46e5fa1f84f060fb84e879			gene-set-018	12	82
ea/92de81	19	2652155.pbs02	train_target	gene-set-019	train_target (gene-set-019)	COMPLETED	0			1	86400000			1	1623172232714	1623172244039	1623172254044	21330	6710		89.8	1.0	1390968832	26132230144	1390968832	26132230144	85200467	22585514	10244	3998	7284266	7364608	6711	26	/scratch1/btsheal/work/ea/92de81a87f1508a456de06c2855ee1			gene-set-019	15	82
36/038a41	21	2652197.pbs02	train_target	gene-set-020	train_target (gene-set-020)	COMPLETED	0			1	86400000			1	1623172245728	1623172254059	1623172259043	13315	5698		94.0	0.6	826707968	25866059776	826707968	25866059776	85200304	22487158	8796	3998	7181866	7266304	3420	28	/scratch1/btsheal/work/36/038a41033c98e38ae6a945c6ff0cc8			gene-set-020	7	82
98/7f9193	22	2652228.pbs02	train_target	gene-set-023	train_target (gene-set-023)	COMPLETED	0			1	86400000			1	1623172258901	1623172274048	1623172279052	20151	6366		93.8	1.1	1551679488	26234867712	1551679488	26234867712	85200460	22548636	10212	3998	7247402	7327744	3404	30	/scratch1/btsheal/work/98/7f9193e11dcc055634c15946e113d1			gene-set-023	12	82
94/f2e6fa	24	2652263.pbs02	train_target	gene-set-021	train_target (gene-set-021)	COMPLETED	0			1	86400000			1	1623172272064	1623172284050	1623172289053	16989	5675		94.0	0.7	936185856	25893306368	936185856	25893306368	85200301	22499448	9824	3998	7194154	7278592	3304	17	/scratch1/btsheal/work/94/f2e6fa4a016e758c2ccf8122287ff1			gene-set-021	8	82
40/4b7546	23	2652304.pbs02	train_target	gene-set-022	train_target (gene-set-022)	COMPLETED	0			1	86400000			1	1623172285296	1623172294050	1623172304057	18761	6331		94.1	1.1	1549398016	26511667200	1551454208	26578776064	85200429	22511743	9290	3998	7206442	7290880	3411	30	/scratch1/btsheal/work/40/4b7546a66cf14d6620db3f5248be17			gene-set-022	9	82
c0/29bb5a	25	2652347.pbs02	train_target	gene-set-024	train_target (gene-set-024)	COMPLETED	0			1	86400000			1	1623172298497	1623172309053	1623172314055	15558	6129		90.5	1.1	1523281920	26235281408	1523281920	26235543552	85200313	22511748	8797	3998	7206442	7290880	6729	15	/scratch1/btsheal/work/c0/29bb5a33ebdf11bd15e06a95fa14f1			gene-set-024	9	82
97/23cf34	27	2652383.pbs02	train_target	gene-set-026	train_target (gene-set-026)	COMPLETED	0			1	86400000			1	1623172311517	1623172369056	1623172374062	62545	6315		90.7	1.1	1524899840	26234462208	1524899840	26234724352	85200467	22597803	8795	3998	7292458	7376896	6713	21	/scratch1/btsheal/work/97/23cf34a77aa463df4eb10606095e72			gene-set-026	16	82
78/6cb5a2	26	2652420.pbs02	train_target	gene-set-025	train_target (gene-set-025)	COMPLETED	0			1	86400000			1	1623172324621	1623172369060	1623172374080	49459	5809		93.6	1.1	1544212480	26501079040	1557983232	26514849792	85200292	22573217	9627	3998	7271978	7352320	3414	32	/scratch1/btsheal/work/78/6cb5a26ec1fe7d27a950f05b3dad21			gene-set-025	14	82
66/ac2aa2	28	2652447.pbs02	train_target	gene-set-027	train_target (gene-set-027)	COMPLETED	0			1	86400000			1	1623172337721	1623172369063	1623172374096	36375	5699		88.7	0.7	881549312	25866059776	881549312	25866059776	85200353	22524034	8795	3998	22468138	7303168	7477	24	/scratch1/btsheal/work/66/ac2aa244d4064387c1cd4b5455850d			gene-set-027	10	82
06/b2afc9	29	2652481.pbs02	train_target	gene-set-028	train_target (gene-set-028)	COMPLETED	0			1	86400000			1	1623172350745	1623172369068	1623172374111	23366	5896		88.3	1.1	1518645248	26515787776	1518645248	26515787776	85200361	22548641	9990	3998	22500906	7327744	7486	18	/scratch1/btsheal/work/06/b2afc9c312eff050d5ee3ed001921a			gene-set-028	12	82
67/95414e	30	2652550.pbs02	train_target	gene-set-029	train_target (gene-set-029)	COMPLETED	0			1	86400000			1	1623172377019	1623172429062	1623172434066	57047	5430		91.4	0.9	1220763648	26046337024	1220763648	26046337024	85200382	22474856	8796	3998	7173674	7254016	3305	19	/scratch1/btsheal/work/67/95414e58758982191b971f761b29f0			gene-set-029	6	82
