hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	gene_set	n_genes	n_train_samples	n_perturb_samples
1d/4c923a	303	2654121.pbs02	visualize	gene-set-000	visualize (gene-set-000)	COMPLETED	0			1	86400000			1	1623176014840	1623176019323	1623176204358	189518	185705		100.9	0.3	442167296	1203458048	442167296	1266896896	481300140	161181187	36801	37712	458648086	12091392	8215	448	/scratch1/btsheal/work/1d/4c923ad140e805050d3e7479ce3bb4			gene-set-000	8	82	732
16/a665f6	301	2654110.pbs02	visualize	gene-set-002	visualize (gene-set-002)	COMPLETED	0			1	86400000			1	1623175988466	1623175994320	1623176229355	240889	232530		101.7	0.3	443052032	1203724288	443052032	1266900992	481333157	162255082	34883	37712	458680854	12091392	8112	1213	/scratch1/btsheal/work/16/a665f6db7489ab624c2186c6319c3a			gene-set-002	12	82	732
e8/82e1b2	302	2654116.pbs02	visualize	gene-set-001	visualize (gene-set-001)	COMPLETED	0			1	86400000			1	1623176001719	1623176009320	1623176239354	237635	231218		102.3	0.3	442896384	1203724288	442896384	1266900992	481332184	162269392	33107	37712	117270	12087296	3847	595	/scratch1/btsheal/work/e8/82e1b2517d275937e61b3f9fc36dbc			gene-set-001	12	82	732
30/401de9	304	2654126.pbs02	visualize	gene-set-005	visualize (gene-set-005)	COMPLETED	0			1	86400000			1	1623176027883	1623176034328	1623176239369	211486	202926		100.8	0.3	443183104	1203986432	443183104	1266900992	481358139	163101187	38808	37712	141846	12083200	4084	703	/scratch1/btsheal/work/30/401de929ad0adfe1d65066ae5384ba			gene-set-005	15	82	732
27/c0dc6b	305	2654131.pbs02	visualize	gene-set-004	visualize (gene-set-004)	COMPLETED	0			1	86400000			1	1623176040923	1623176044327	1623176254356	213433	205742		101.2	0.3	443150336	1203986432	443150336	1266900992	481366121	163373305	30992	37712	150038	12185600	4003	558	/scratch1/btsheal/work/27/c0dc6b6b31c4971ad4655c67371364			gene-set-004	16	82	732
4d/794248	311	2654164.pbs02	visualize	gene-set-009	visualize (gene-set-009)	COMPLETED	0			1	86400000			1	1623176119650	1623176214371	1623176409368	289718	193907		100.9	0.3	442265600	1203462144	442265600	1266900992	481324310	161953811	45411	37712	109078	12091392	5505	470	/scratch1/btsheal/work/4d/794248d239d8914c46dd70c7e2d822			gene-set-009	11	82	732
56/b86e07	320	2654212.pbs02	visualize	gene-set-019	visualize (gene-set-019)	COMPLETED	0			1	86400000			1	1623176237970	1623176244383	1623176449384	211414	204340		101.2	0.3	443056128	1203986432	443056128	1266900992	481359333	163076936	34758	37712	141846	12091392	4009	971	/scratch1/btsheal/work/56/b86e07fd0bb6622f974aca72772d99			gene-set-019	15	82	732
0a/bb05a2	319	2654207.pbs02	visualize	gene-set-018	visualize (gene-set-018)	COMPLETED	0			1	86400000			1	1623176224858	1623176259379	1623176454380	229522	195685		101.1	0.3	442540032	1203724288	442540032	1266900992	481332861	162243576	35426	37712	117270	12083200	3904	629	/scratch1/btsheal/work/0a/bb05a242f793993d4faaa71511eb1c			gene-set-018	12	82	732
8e/73a539	318	2654201.pbs02	visualize	gene-set-016	visualize (gene-set-016)	COMPLETED	0			1	86400000			1	1623176211707	1623176249377	1623176479406	267699	233389		102.2	0.3	443813888	1203724288	443813888	1266900992	481340954	162526206	31014	37712	125462	12091392	3872	558	/scratch1/btsheal/work/8e/73a53961faea9e4c827fb5b2683865			gene-set-016	13	82	732
8a/03ad3a	308	2654147.pbs02	visualize	gene-set-007	visualize (gene-set-007)	COMPLETED	0			1	86400000			1	1623176080363	1623176234360	1623176494389	414026	258862		102.0	0.3	448663552	1213157376	448663552	1266958336	481407625	164945820	30992	37712	190998	15081472	5479	1134	/scratch1/btsheal/work/8a/03ad3ab4746f39b733c293b3a48850			gene-set-007	21	82	732
